visit_year	sample_date	visit_month	station_name	sample_latitude_dd	sample_longitude_dd	water_depth_m	sample_id	sample_min_depth_m	sample_max_depth_m	scientific_name	species_flag_code	size_class	trophic_type	parameter	value	unit	plankton_group	taxon_kingdom	taxon_phylum	taxon_class	taxon_order	taxon_family	taxon_genus	taxon_hierarchy
2018	2018-12-10	12	B1	58.80317	17.62533	41		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-11-13	11	B1	58.80317	17.62533	41		0	20	Thalassiosira			AU	Biovolume concentration	0.00522418	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-10-22	10	B1	58.80317	17.62533			0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-10-09	10	B1	58.80317	17.62533	42.3		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-09-27	09	B1	58.80317	17.62533	41.7		0	20	Thalassiosira			AU	Biovolume concentration	0.00272621	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-09-11	09	B1	58.80317	17.62533	41.5		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-08-29	08	B1	58.80317	17.62533	43		0	20	Thalassiosira			AU	Biovolume concentration	0.0025434	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-08-14	08	B1	58.80317	17.62533	42		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-07-30	07	B1	58.80317	17.62533	41		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-07-17	07	B1	58.80317	17.62533	41		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-07-04	07	B1	58.80317	17.62533	42.2		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-06-19	06	B1	58.80317	17.62533	41		0	20	Thalassiosira			AU	Biovolume concentration	0.00528948	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-06-07	06	B1	58.80317	17.62533	41.5		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-05-21	05	B1	58.80317	17.62533	42.6		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-05-07	05	B1	58.80317	17.62533	41		0	20	Thalassiosira			AU	Biovolume concentration	0.02188918	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-04-24	04	B1	58.80317	17.62533	43		0	20	Thalassiosira			AU	Biovolume concentration	0.17086059999999997	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-04-17	04	B1	58.80317	17.62533	40		0	20	Thalassiosira			AU	Biovolume concentration	0.5133187	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-04-11	04	B1	58.80317	17.62533	41		0	20	Thalassiosira			AU	Biovolume concentration	0.8522155	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-04-04	04	B1	58.80317	17.62533	43		0	20	Thalassiosira			AU	Biovolume concentration	0.5954444999999999	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-03-27	03	B1	58.80317	17.62533	43		0	20	Thalassiosira			AU	Biovolume concentration	0.14938892	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-03-20	03	B1	58.80317	17.62533	42		0	20	Thalassiosira			AU	Biovolume concentration	0.057438510000000005	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-03-05	03	B1	58.80317	17.62533	42		0	20	Thalassiosira			AU	Biovolume concentration	0.02567145	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-02-14	02	B1	58.80317	17.62533			0	20	Thalassiosira			AU	Biovolume concentration	0.0009272810000000001	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2018	2018-01-23	01	B1	58.80317	17.62533	40.9		0	20	Thalassiosira			AU	Biovolume concentration	0.000245312	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-12-12	12	B1	58.80317	17.62533	44		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-11-14	11	B1	58.80317	17.62533	40.3		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-10-31	10	B1	58.80317	17.62533	40.7		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-10-11	10	B1	58.80317	17.62533	40.3		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-09-27	09	B1	58.80317	17.62533	39.4		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-09-13	09	B1	58.80317	17.62533	39.6		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-08-30	08	B1	58.80317	17.62533	42.5		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-08-21	08	B1	58.80317	17.62533	42		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-08-02	08	B1	58.80317	17.62533	40		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-07-18	07	B1	58.80317	17.62533			0	20	Thalassiosira			AU	Biovolume concentration	0.0115884	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-07-05	07	B1	58.80317	17.62533	41		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-06-20	06	B1	58.80317	17.62533	40		0	20	Thalassiosira			AU	Biovolume concentration	0.02138448	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-06-13	06	B1	58.80317	17.62533	41.3		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-05-22	05	B1	58.80317	17.62533	41		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-05-08	05	B1	58.80317	17.62533	41.4		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-04-27	04	B1	58.80317	17.62533	40.7		0	20	Thalassiosira			AU	Biovolume concentration	0.0017168	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-04-18	04	B1	58.80317	17.62533	41.4		0	20	Thalassiosira			AU	Biovolume concentration	0.014469605	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-04-11	04	B1	58.80317	17.62533			0	20	Thalassiosira			AU	Biovolume concentration	0.09087491	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-04-03	04	B1	58.80317	17.62533	42.6		0	20	Thalassiosira			AU	Biovolume concentration	0.1589306	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-03-28	03	B1	58.80317	17.62533	41.9		0	20	Thalassiosira			AU	Biovolume concentration	0.10763755	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-03-20	03	B1	58.80317	17.62533	43		0	20	Thalassiosira			AU	Biovolume concentration	0.05680849	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-03-15	03	B1	58.80317	17.62533	42		0	20	Thalassiosira			AU	Biovolume concentration	0.01388935	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-02-27	02	B1	58.80317	17.62533	42.5		0	20	Thalassiosira			AU	Biovolume concentration	0.01338621	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-02-14	02	B1	58.80317	17.62533	42.5		0	20	Thalassiosira			AU	Biovolume concentration	0.003474601	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2017	2017-01-17	01	B1	58.80317	17.62533	44.1		0	20	Thalassiosira			AU	Biovolume concentration	0.00214599	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2016	2016-12-13	12	B1	58.80317	17.62533	41.5		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2016	2016-11-15	11	B1	58.80317	17.62533	42		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2016	2016-11-08	11	B1	58.80317	17.62533	40.8		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2016	2016-10-17	10	B1	58.80317	17.62533	42.1		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2016	2016-10-03	10	B1	58.80317	17.62533	41.1		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2016	2016-09-13	09	B1	58.80317	17.62533	40.5		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2016	2016-08-31	08	B1	58.80317	17.62533			0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2016	2016-08-16	08	B1	58.80317	17.62533	42		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
2016	2016-08-03	08	B1	58.80317	17.62533	41.7		0	20	Thalassiosira				Biovolume concentration	0.0	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
