Strain;Species;Local;Phenotype Batch;Possition;Light intensity;Metal;Concentration;Growth compared to control;Replicate;InhibitionRAW;Running no;Inhibition
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;F1;160;Pb;39.50617284;1.081616217;2;-0.081616217;448;-0.081616217
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C5;200;Co;0;1.07894126;4;-0.07894126;413;-0.07894126
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;F1;160;Pb;26.33744856;1.076232338;2;-0.076232338;449;-0.076232338
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C6;196;Cd;6.328125001;1.072398808;2;-0.072398808;512;-0.072398808
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C6;196;Cd;6.328125001;1.071734816;3;-0.071734816;518;-0.071734816
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C6;196;Cd;4.746093751;1.065227971;1;-0.065227971;507;-0.065227971
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D8;179;Cu;1.607510288;1.064487317;3;-0.064487317;386;-0.064487317
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C5;200;Co;6.172839506;1.059310846;2;-0.059310846;402;-0.059310846
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C6;196;Cd;4.746093751;1.057435992;2;-0.057435992;513;-0.057435992
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D8;179;Cu;0;1.051532215;4;-0.051532215;390;-0.051532215
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C5;200;Co;2.057613169;1.050123274;3;-0.050123274;409;-0.050123274
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C5;200;Co;6.172839506;1.0495693;1;-0.0495693;396;-0.0495693
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D7;189;Ag;0;1.048013001;4;-0.048013001;436;-0.048013001
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C5;200;Co;2.057613169;1.047789789;2;-0.047789789;403;-0.047789789
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C5;200;Co;6.172839506;1.046251113;3;-0.046251113;408;-0.046251113
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C6;196;Cd;0;1.045771166;4;-0.045771166;523;-0.045771166
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;F1;160;Pb;0;1.045008833;4;-0.045008833;459;-0.045008833
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D7;189;Ag;25.6;1.044927235;2;-0.044927235;425;-0.044927235
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;F1;160;Pb;26.33744856;1.043075144;1;-0.043075144;443;-0.043075144
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;F1;160;Pb;0;1.042721179;3;-0.042721179;458;-0.042721179
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C5;200;Co;0;1.042574184;1;-0.042574184;410;-0.042574184
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D8;179;Cu;1.929012346;1.030490049;2;-0.030490049;379;-0.030490049
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;2;1.029978441;3;-0.029978441;546;-0.029978441
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;6;1.027353395;3;-0.027353395;542;-0.027353395
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C6;196;Cd;0;1.026942774;5;-0.026942774;524;-0.026942774
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;F7;171;Zn;0;1.026805839;3;-0.026805839;499;-0.026805839
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D7;189;Ag;10.24;1.025205768;1;-0.025205768;420;-0.025205768
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D8;179;Cu;1.929012346;1.02506996;3;-0.02506996;385;-0.02506996
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D7;189;Ag;0;1.024856729;3;-0.024856729;435;-0.024856729
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C6;196;Cd;4.746093751;1.022877082;3;-0.022877082;519;-0.022877082
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;3;1.021652545;3;-0.021652545;545;-0.021652545
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;0;1.021514926;3;-0.021514926;550;-0.021514926
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C6;196;Cd;0;1.021467469;4;-0.021467469;528;-0.021467469
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;F1;160;Pb;39.50617284;1.021241963;3;-0.021241963;454;-0.021241963
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;4;1.020471711;2;-0.020471711;538;-0.020471711
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;0;1.01938102;5;-0.01938102;552;-0.01938102
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;F7;171;Zn;0;1.019279167;4;-0.019279167;500;-0.019279167
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D8;179;Cu;1.607510288;1.018392958;2;-0.018392958;380;-0.018392958
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D8;179;Cu;1.607510288;1.014788748;1;-0.014788748;374;-0.014788748
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C6;196;Cd;0;1.013251465;5;-0.013251465;529;-0.013251465
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D8;179;Cu;0;1.010821474;5;-0.010821474;391;-0.010821474
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;6;1.009641204;2;-0.009641204;536;-0.009641204
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;5;1.007506822;1;-0.007506822;531;-0.007506822
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;4;1.007423769;3;-0.007423769;544;-0.007423769
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;E1;168;Ni;3.046349735;1.007037488;3;-0.007037488;478;-0.007037488
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D7;189;Ag;0;1.006762599;2;-0.006762599;434;-0.006762599
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;F7;171;Zn;6.5536;1.005726361;2;-0.005726361;490;-0.005726361
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C6;196;Cd;0;1.005703091;3;-0.005703091;527;-0.005703091
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C5;200;Co;2.057613169;1.004389661;1;-0.004389661;397;-0.004389661
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;F7;171;Zn;6.5536;1.004292689;1;-0.004292689;484;-0.004292689
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;F1;160;Pb;26.33744856;1.002065934;3;-0.002065934;455;-0.002065934
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;5;1.000187113;3;-0.000187113;543;-0.000187113
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C6;196;Cd;0;0.997742065;3;0.002257935;522;0.002257935
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D7;189;Ag;10.24;0.996587059;2;0.003412941;426;0.003412941
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;5;0.996488194;2;0.003511806;537;0.003511806
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D8;179;Cu;0;0.994307407;3;0.005692593;389;0.005692593
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;F7;171;Zn;0;0.994202605;1;0.005797395;497;0.005797395
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D7;189;Ag;0;0.993868729;5;0.006131271;437;0.006131271
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;3;0.99102581;1;0.00897419;533;0.00897419
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;1;0.989660142;3;0.010339858;547;0.010339858
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;3;0.989465697;2;0.010534303;539;0.010534303
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;4;0.98875411;1;0.01124589;532;0.01124589
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;0;0.988705327;2;0.011294673;549;0.011294673
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;F1;160;Pb;0;0.98667708;1;0.01332292;456;0.01332292
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;E1;168;Ni;3.046349735;0.985766279;2;0.014233721;472;0.014233721
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;1;0.985291159;1;0.014708841;535;0.014708841
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;E1;168;Ni;3.046349735;0.98435182;1;0.01564818;466;0.01564818
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;0;0.983682156;1;0.016317844;548;0.016317844
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D8;179;Cu;0;0.98291115;1;0.01708885;387;0.01708885
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C5;200;Co;0;0.982593771;3;0.017406229;412;0.017406229
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;0;0.98252757;4;0.01747243;551;0.01747243
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;F7;171;Zn;0;0.981934942;2;0.018065058;498;0.018065058
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C6;196;Cd;0;0.981430178;1;0.018569822;525;0.018569822
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;F7;171;Zn;8.192;0.980335181;2;0.019664819;489;0.019664819
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D7;189;Ag;25.6;0.975464577;3;0.024535423;431;0.024535423
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;1;0.975409449;2;0.024590551;541;0.024590551
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D8;179;Cu;2.314814815;0.974990033;3;0.025009967;384;0.025009967
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;2;0.974928858;1;0.025071142;534;0.025071142
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C6;196;Cd;0;0.974530896;2;0.025469104;526;0.025469104
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;F7;171;Zn;0;0.972657356;5;0.027342644;501;0.027342644
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D7;189;Ag;10.24;0.968641292;3;0.031358708;432;0.031358708
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C6;196;Cd;0;0.968425544;1;0.031574456;520;0.031574456
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;6;0.964767315;1;0.035232685;530;0.035232685
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;F1;160;Pb;0;0.960628825;5;0.039371175;460;0.039371175
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D2;186;Control;2;0.956141375;2;0.043858625;540;0.043858625
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C5;200;Co;0;0.949712979;2;0.050287021;411;0.050287021
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D8;179;Cu;0;0.948277203;2;0.051722797;388;0.051722797
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;C6;196;Cd;0;0.945402776;2;0.054597224;521;0.054597224
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;D8;179;Cu;2.314814815;0.940753054;2;0.059246946;378;0.059246946
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;F1;160;Pb;39.50617284;0.936017548;1;0.063982452;442;0.063982452
SM_GP2_4_13;S_marinoi;GP;Exp_ 2;F1;160;Pb;59.25925926;0.927793625;3;0.072206375;453;0.072206375
