Metal;Strain;Local;Species;EC;Conc;SE;95L;95H;Respons_Range
Ag;SM_GP2-4_13;GP;SM;EC05;0.010279439;0.001327303;0.007858702;0.013445841;
Ag;SM_GP2-4_06;GP;SM;EC05;7.35E-05;0.000404747;7.81E-10;6.917677763;
Ag;SM_GP2-4_19;GP;SM;EC05;0.004551655;0.00071293;0.003286289;0.006304242;
Ag;SM_GP2-4_20;GP;SM;EC05;0.014978872;0.001134426;0.012796108;0.017533973;
Ag;TB_GP2-4_11;GP;TB;EC05;0.004607174;0.00446176;0.00061486;0.034521784;
Ag;TB_GP2-4_13;GP;TB;EC05;0.005224071;0.002388017;0.002019092;0.013516431;
Ag;TB_GP2-4_16;GP;TB;EC05;0.013469211;0.003429385;0.007932097;0.022871585;
Ag;TB_GP2-4_09;GP;TB;EC05;0.003882902;0.001181349;0.002062406;0.007310359;
Ag;SM_GP2-4_13;GP;SM;EC50;0.030928576;0.001036684;0.028846096;0.033161395;
Ag;SM_GP2-4_06;GP;SM;EC50;0.003510771;0.006015823;9.95E-05;0.123881189;
Ag;SM_GP2-4_19;GP;SM;EC50;0.025834181;0.001117161;0.02361232;0.028265113;
Ag;SM_GP2-4_20;GP;SM;EC50;0.022066371;0.000252218;0.02154804;0.02259717;
Ag;TB_GP2-4_11;GP;TB;EC50;0.103869943;0.069172829;0.026002896;0.414913983;
Ag;TB_GP2-4_13;GP;TB;EC50;0.057987463;0.007550573;0.044231598;0.076021352;
Ag;TB_GP2-4_16;GP;TB;EC50;0.091396539;0.006223886;0.079327978;0.10530115;
Ag;TB_GP2-4_09;GP;TB;EC50;0.0643952;0.005188397;0.054460854;0.076141696;
Ag;SM_GP2-4_13;GP;SM;EC95;0.057450631;0.003187075;0.051190777;0.06447597;5.629400404
Ag;SM_GP2-4_06;GP;SM;EC95;0.030856939;0.017205558;0.009677342;0.098389694;58.5261815
Ag;SM_GP2-4_19;GP;SM;EC95;0.068561781;0.005957953;0.057226599;0.082142184;15.26988937
Ag;SM_GP2-4_20;GP;SM;EC95;0.027435719;0.001142438;0.025159851;0.029917453;1.838371011
Ag;TB_GP2-4_11;GP;TB;EC95;0.598592892;0.87819307;0.028320591;12.6520469;137.6398553
Ag;TB_GP2-4_13;GP;TB;EC95;0.224377996;0.054210661;0.135760013;0.370841781;43.34164849
Ag;TB_GP2-4_16;GP;TB;EC95;0.268176062;0.033956049;0.206092714;0.34896139;19.96962695
Ag;TB_GP2-4_09;GP;TB;EC95;0.312266729;0.048477547;0.226107393;0.431257505;81.16538911
Cd;SM_GP2-4_13;GP;SM;EC05;4.121489207;0.233447479;3.668512298;4.630398348;
Cd;SM_GP2-4_06;GP;SM;EC05;6.281139293;2.114085142;3.119278774;12.64802337;
Cd;SM_GP2-4_19;GP;SM;EC05;3.092364509;0.214415232;2.677120715;3.572016085;
Cd;SM_GP2-4_20;GP;SM;EC05;2.966377251;0.157630219;2.656030987;3.312986195;
Cd;TB_GP2-4_11;GP;TB;EC05;3.058784497;0.37523323;2.37003123;3.947695911;
Cd;TB_GP2-4_13;GP;TB;EC05;2.148944712;0.122395036;1.908906671;2.419166659;
Cd;TB_GP2-4_16;GP;TB;EC05;2.06119607;0.171979983;1.732853937;2.451752653;
Cd;TB_GP2-4_09;GP;TB;EC05;1.621163303;0.367308077;1.017573905;2.582780907;
Cd;SM_GP2-4_13;GP;SM;EC50;8.536294286;0.274070868;7.991121017;9.118660571;
Cd;SM_GP2-4_06;GP;SM;EC50;7.570208359;0.700917059;6.244315249;9.177636348;
Cd;SM_GP2-4_19;GP;SM;EC50;7.527697808;0.288141538;6.951704051;8.151416382;
Cd;SM_GP2-4_20;GP;SM;EC50;7.211392042;0.198819364;6.809554363;7.63694251;
Cd;TB_GP2-4_11;GP;TB;EC50;3.319816247;0.032822615;3.252254824;3.388781173;
Cd;TB_GP2-4_13;GP;TB;EC50;2.720704014;0.092219395;2.535526477;2.919405655;
Cd;TB_GP2-4_16;GP;TB;EC50;2.970284343;0.106508887;2.756844123;3.200249519;
Cd;TB_GP2-4_09;GP;TB;EC50;3.622476969;0.233950053;3.172138587;4.136748452;
Cd;SM_GP2-4_13;GP;SM;EC95;31.17193593;3.905099335;24.0951226;40.32723161;7.84888335
Cd;SM_GP2-4_06;GP;SM;EC95;10.55156453;4.916717502;4.003766336;27.80769525;1.695506112
Cd;SM_GP2-4_19;GP;SM;EC95;36.63978883;5.817477417;26.33619886;50.97448318;12.45615626
Cd;SM_GP2-4_20;GP;SM;EC95;35.01711424;3.99561342;27.62009086;44.3951577;12.42687706
Cd;TB_GP2-4_11;GP;TB;EC95;3.840418694;0.765526649;2.537154834;5.813131918;1.265384376
Cd;TB_GP2-4_13;GP;TB;EC95;4.139364021;0.383337279;3.414236015;5.018497381;1.988863019
Cd;TB_GP2-4_16;GP;TB;EC95;5.689330218;0.703362338;4.399510843;7.357290271;2.873275391
Cd;TB_GP2-4_09;GP;TB;EC95;15.14038452;6.43769001;6.317696918;36.28398867;10.0648079
Cu;SM_GP2-4_13;GP;SM;EC05;8.424640537;0.184379156;8.04979805;8.816937733;
Cu;SM_GP2-4_06;GP;SM;EC05;6.942357728;0.605751829;5.790309926;8.323618501;
Cu;SM_GP2-4_19;GP;SM;EC05;6.702840469;0.122465147;6.452937949;6.962420947;
Cu;SM_GP2-4_20;GP;SM;EC05;7.685806711;0.090768017;7.499343415;7.876906221;
Cu;TB_GP2-4_11;GP;TB;EC05;6.491021292;0.204119282;6.080114354;6.929698188;
Cu;TB_GP2-4_13;GP;TB;EC05;10.47759165;1.125229732;8.380444422;13.09953521;
Cu;TB_GP2-4_16;GP;TB;EC05;9.738110527;0.604949966;8.557923136;11.08105263;
Cu;TB_GP2-4_09;GP;TB;EC05;9.102107212;0.32745749;8.445972852;9.809214065;
Cu;SM_GP2-4_13;GP;SM;EC50;10.40410461;0.073289538;10.25280162;10.5576404;
Cu;SM_GP2-4_06;GP;SM;EC50;9.158057015;0.207209305;8.73712248;9.59927121;
Cu;SM_GP2-4_19;GP;SM;EC50;8.346130053;0.037528121;8.26844981;8.424540086;
Cu;SM_GP2-4_20;GP;SM;EC50;9.018614739;0.043823587;8.927937535;9.110212913;
Cu;TB_GP2-4_11;GP;TB;EC50;7.985539171;0.074260935;7.832588839;8.141476231;
Cu;TB_GP2-4_13;GP;TB;EC50;11.19290734;0.916503474;9.440380434;13.27077607;
Cu;TB_GP2-4_16;GP;TB;EC50;10.60210011;0.928807473;8.8362756;12.72080363;
Cu;TB_GP2-4_09;GP;TB;EC50;10.57912765;0.173313755;10.22477259;10.94576342;
Cu;SM_GP2-4_13;GP;SM;EC95;11.71464398;0.183375309;11.33943443;12.1022688;1.461455089
Cu;SM_GP2-4_06;GP;SM;EC95;10.70113544;0.543529756;9.628452866;11.89332297;1.680666127
Cu;SM_GP2-4_19;GP;SM;EC95;9.44100253;0.090666138;9.254322317;9.631448497;1.512766414
Cu;SM_GP2-4_20;GP;SM;EC95;9.866939695;0.115510567;9.629622862;10.11010507;1.341590213
Cu;TB_GP2-4_11;GP;TB;EC95;8.972102806;0.129033394;8.707736246;9.244495525;1.475993807
Cu;TB_GP2-4_13;GP;TB;EC95;11.61626841;1.063262682;9.602801896;14.05190831;1.12675755
Cu;TB_GP2-4_16;GP;TB;EC95;11.12104236;1.898101894;7.798236086;15.85968697;1.160734284
Cu;TB_GP2-4_09;GP;TB;EC95;11.5123436;0.461485163;10.59154636;12.51319217;1.307555282
Zn;SM_GP2-4_13;GP;SM;EC05;6.044816734;0.088555898;5.86343174;6.231812864;
Zn;SM_GP2-4_06;GP;SM;EC05;7.500719055;1.654635525;4.740973431;11.86692715;
Zn;SM_GP2-4_19;GP;SM;EC05;5.395693637;0.092203143;5.20731376;5.590888349;
Zn;SM_GP2-4_20;GP;SM;EC05;5.519682651;0.076088168;5.363695189;5.680206554;
Zn;TB_GP2-4_11;GP;TB;EC05;5.259826816;0.397628035;4.494638199;6.155284788;
Zn;TB_GP2-4_13;GP;TB;EC05;9.87394475;1.71;6.317;13.431;
Zn;TB_GP2-4_16;GP;TB;EC05;5.070726821;0.892099963;3.517022787;7.310805773;
Zn;TB_GP2-4_09;GP;TB;EC05;3.626697482;0.503259328;2.717587288;4.839930876;
Zn;SM_GP2-4_13;GP;SM;EC50;7.635213172;0.040124992;7.552223006;7.719115304;
Zn;SM_GP2-4_06;GP;SM;EC50;8.104081588;0.226528425;7.646420757;8.589134769;
Zn;SM_GP2-4_19;GP;SM;EC50;6.662645712;0.040784442;6.578367395;6.748003756;
Zn;SM_GP2-4_20;GP;SM;EC50;6.753870518;0.033807741;6.683928149;6.824544782;
Zn;TB_GP2-4_11;GP;TB;EC50;6.76603073;0.151228483;6.458731118;7.087951334;
Zn;TB_GP2-4_13;GP;TB;EC50;10.2022793;1.579577271;6.917334881;13.48722372;
Zn;TB_GP2-4_16;GP;TB;EC50;9.07589779;0.437113998;8.210910378;10.03200825;
Zn;TB_GP2-4_09;GP;TB;EC50;7.817720973;0.278128191;7.260200298;8.418054421;
Zn;SM_GP2-4_13;GP;SM;EC95;9.644044271;0.140867563;9.35549879;9.941489169;1.595423765
Zn;SM_GP2-4_06;GP;SM;EC95;8.755978981;1.471324142;6.173622176;12.41850663;1.167351945
Zn;SM_GP2-4_19;GP;SM;EC95;8.22708828;0.129560599;7.962016488;8.500984853;1.524750817
Zn;SM_GP2-4_20;GP;SM;EC95;8.264019846;0.106841521;8.044791074;8.489222826;1.497191119
Zn;TB_GP2-4_11;GP;TB;EC95;8.703551171;0.574963671;7.586346667;9.985280967;1.654722004
Zn;TB_GP2-4_13;GP;TB;EC95;10.54610918;1.734162269;6.939712482;14.15250588;1.068074559
Zn;TB_GP2-4_16;GP;TB;EC95;16.24459838;3.040499029;11.00686794;23.9747563;3.203603537
Zn;TB_GP2-4_09;GP;TB;EC95;16.85190494;2.317157896;12.66084566;22.43031056;4.646625483
