Metal;Strain;Local;Species;EC05n;SE_EC05n;95L_EC05n;95H_EC05n;EC50n;SE_EC50n;95L_EC50n;95H_EC50n;EC95n;SE_EC95n;95L_EC95n;95H_EC95n;EC05a;SE_EC05a;95L_EC05a;95H_EC05a;EC50a;SE_EC50a;95L_EC50a;95H_EC50a;EC95a;SE_EC95a;95L_EC95a;95H_EC95a;Respons_Range
Ag;RO5;Ore;SM;67.2069;9.3285;47.8072;86.6066;183.5076;6.6809;169.614;197.4012;322.77;37.003;245.819;399.721;0.016915166;0.002347871;0.012032496;0.021797837;0.046013602;0.001675202;0.042529852;0.049497351;0.080857054;0.009269615;0.061580073;0.100134035;4.802631873
Cd;RO5;Ore;SM;6.16089;0.41957;5.28834;7.03344;13.28483;0.57245;12.09435;14.47531;52.1165;8.7366;33.9476;70.2853;4.291545551;0.29226358;3.683745692;4.89934541;9.106616597;0.392408685;8.290554598;9.922678596;35.35294235;5.926424763;23.02816854;47.67764833;8.459248583
Co;RO5;Ore;SM;12.1662;2.2074;7.5757;16.7567;59.6279;4.4131;50.4504;68.8055;292.244;61.801;163.722;420.765;7.81738826;1.418364226;4.867763824;10.7670127;37.82742117;2.799632259;32.00529499;43.64961079;184.9105812;39.10314268;103.5912805;266.2292492;24.02097615
Cu;RO5;Ore;SM;2.37015;0.40602;1.52577;3.21452;2.715104;0.081386;2.545854;2.884355;2.93063;0.18292;2.55022;3.31103;8.807196375;1.508722179;5.669580412;11.94477518;9.89121432;0.296491909;9.274630932;10.50780135;10.56850478;0.659650278;9.196661553;11.94031193;1.236474485
Ni;RO5;Ore;SM;0.23626;0.1955;-0.17031;0.64283;6.0808;1.0499;3.8974;8.2642;156.508;114.834;-82.302;395.317;0.318946352;0.263921154;-0.229915149;0.867807853;3.44694416;0.595143184;2.209268545;4.684619775;83.9555816;61.60039907;-44.14925931;212.0598861;662.4396851
Pb;RO5;Ore;SM;77.0901;37.7918;-1.5023;155.6825;89.4028;1.8578;85.5393;93.2663;97.169;29.795;35.208;159.131;41.45112152;20.32054044;-0.80778232;83.71002536;48.04087856;0.998294731;45.96481456;50.11694256;52.1973488;16.00531041;18.91307162;85.48216316;1.260460163
Zn;RO5;Ore;SM;7.72785;0.45341;6.78494;8.67076;12.50367;0.27241;11.93716;13.07018;20.231;1.1824;17.772;22.6899;5.968546955;0.350187811;5.240297492;6.696796418;7.861204421;0.171267372;7.50503292;8.217375922;10.9235453;0.638426176;9.595830511;12.25120609;2.617933837
Ag;SM_GP2-4_10;GP;SM;37.9527;4.7477;28.0794;47.826;150.5964;5.2004;139.7817;161.4112;326.822;26.275;272.181;381.463;0.009595766;0.001200384;0.007099451;0.01209208;0.037779219;0.001304593;0.0350662;0.040492264;0.081870864;0.006582045;0.068182967;0.095558761;8.611297747
Cd;SM_GP2-4_10;GP;SM;5.70302;0.36596;4.95078;6.45526;11.84923;0.48029;10.86199;12.83648;43.5133;6.4937;30.1653;56.8613;3.982071218;0.25552756;3.456827881;4.507314555;8.136294557;0.329791971;7.45840448;8.814191501;29.53803947;4.408104348;20.47704546;38.59903348;7.629869788
Co;SM_GP2-4_10;GP;SM;5.11783;0.89399;3.25868;6.97699;32.514;1.978;28.401;36.628;206.57;32.488;139.008;274.132;3.360703909;0.587052655;2.139863695;4.58155069;20.6833022;1.258275566;18.06687783;23.3003627;130.738911;20.56177441;87.97867328;173.4991487;40.36281002
Cu;SM_GP2-4_10;GP;SM;1.854304;0.076336;1.695555;2.013053;2.444839;0.035042;2.371965;2.517713;2.85594;0.069735;2.710919;3.000962;7.18615032;0.295831736;6.570936106;7.801364534;9.041906558;0.1295981;8.772391919;9.311421196;10.33379145;0.25232566;9.809054666;10.85853185;1.540168171
Ni;SM_GP2-4_10;GP;SM;5.54721;0.56718;4.34484;6.74959;15.47706;0.57479;14.25857;16.69555;43.1819;4.4737;33.698;52.6658;3.161366792;0.32323709;2.476133569;3.846605715;8.475822512;0.31477671;7.808531374;9.14311365;23.30345288;2.414267486;18.18539145;28.42151431;7.784435779
Pb;SM_GP2-4_10;GP;SM;54.3439;1.7295;50.6775;58.0103;88.54501;0.85017;86.74274;90.34728;116.5067;2.0948;112.0659;120.9474;29.27735528;0.931754732;27.30211067;31.25259989;47.58178935;0.456859284;46.61329625;48.55028246;62.54688584;1.124598126;60.1628323;64.9308857;2.143878154
Zn;SM_GP2-4_10;GP;SM;7.886;0.2798;7.3041;8.4679;11.48036;0.14186;11.18535;11.77537;16.71298;0.53388;15.60271;17.82325;6.0312218;0.213991359;5.586184016;6.476259584;7.455666668;0.092127849;7.264078928;7.647254408;9.529353974;0.304406007;8.896303744;10.1624042;2.119322851
Ag;SM_GP2-4_13;GP;SM;40.7491;5.1094;29.9177;51.5805;123.1733;4.0044;114.6844;131.6622;229.393;12.342;203.229;255.557;0.010295425;0.001290911;0.007558828;0.013032022;0.03091796;0.001005152;0.028787145;0.033048774;0.057494129;0.003093349;0.05093649;0.064051767;5.629400404
Cd;SM_GP2-4_13;GP;SM;5.92218;0.34206;5.21906;6.62529;12.43053;0.40478;11.5985;13.26257;46.4825;5.9184;34.317;58.648;4.130201462;0.238556868;3.639836892;4.620559058;8.529195227;0.277739376;7.958298708;9.100098607;31.54492175;4.016467808;23.2889169;39.8009266;7.84888335
Co;SM_GP2-4_13;GP;SM;9.19123;0.87517;7.3712;11.01125;28.8546;1.3865;25.9712;31.7381;90.585;10.096;69.59;111.58;5.936314729;0.565243668;4.760816902;7.111806098;18.36946358;0.882675943;16.53382866;20.20516216;57.4015955;6.39759903;44.09755512;70.70563588;9.855590601
Cu;SM_GP2-4_13;GP;SM;2.256783;0.057175;2.137882;2.375684;2.87723;0.02309;2.82922;2.92525;3.298187;0.058446;3.176642;3.419732;8.450940578;0.214102343;8.005693832;8.896187323;10.40069528;0.083466408;10.22714732;10.57427938;11.72355265;0.207748911;11.29151553;12.15558977;1.461455089
Ni;SM_GP2-4_13;GP;SM;2.76355;0.26556;2.20058;3.32651;9.18166;0.33876;8.46351;9.8998;30.5053;2.8822;24.3953;36.6153;1.67155196;0.160625767;1.331035737;2.012062134;5.106524432;0.188406695;4.707114029;5.505929273;16.51893656;1.560741214;13.21030815;19.82756497;11.03844693
Pb;SM_GP2-4_13;GP;SM;55.701;15.822;22.798;88.604;81.2276;5.5603;69.6642;92.7909;100.418;10.033;79.553;121.283;30.0036752;8.522614478;12.2802784;47.727072;43.66551152;2.989049827;37.44937592;49.88159336;53.9362136;5.388894731;42.72926767;65.14315953;1.802804258
Zn;SM_GP2-4_13;GP;SM;8.14944;0.21108;7.71047;8.58842;11.886;0.10775;11.66193;12.11007;17.3358;0.4249;16.4522;18.2194;6.135623072;0.158919793;5.805127423;6.46612625;7.6164218;0.069045049;7.472840138;7.760003462;9.77617754;0.239613853;9.277889;10.27446608;2.127238191
Ag;SM_GP2-4_19;GP;SM;17.9518;2.8266;12.0735;23.83;102.7839;4.4653;93.4979;112.0699;274.122;23.932;224.354;323.891;0.00459154;0.000722961;0.003088045;0.00609501;0.025816532;0.001121562;0.02348414;0.028148923;0.068685324;0.005996517;0.056215215;0.081155684;15.26988937
Cd;SM_GP2-4_19;GP;SM;4.41112;0.30961;3.76725;5.055;10.93295;0.42226;10.05483;11.81108;54.9456;8.8027;36.6394;73.2517;3.108876008;0.218207417;2.655088309;3.562670755;7.516980905;0.290326065;6.913226998;8.120741687;37.26513104;5.970155372;24.84952466;49.6806696;12.45615626
Co;SM_GP2-4_19;GP;SM;5.15371;0.53719;4.03657;6.27086;19.34947;0.70159;17.89042;20.80851;72.647;8.7946;54.3576;90.9364;3.383390833;0.352663173;2.649992711;4.11679552;12.35936988;0.448136839;11.42740954;13.29132383;46.0593981;5.575921683;34.46361637;57.65517983;14.09605896
Cu;SM_GP2-4_19;GP;SM;1.704864;0.037586;1.6267;1.783028;2.222124;0.012025;2.197117;2.247132;2.579061;0.029813;2.517061;2.641061;6.71653512;0.148074972;6.4085978;7.02447244;8.34202467;0.045142776;8.248146466;8.435906628;9.463699193;0.109396894;9.236194163;9.691204222;1.512766414
Ni;SM_GP2-4_19;GP;SM;7.04151;0.52232;5.95528;8.12773;17.2366;0.43812;16.32547;18.14772;42.1927;2.8912;36.1801;48.2053;3.961116152;0.293824789;3.350070624;4.572156055;9.41752832;0.23937479;8.919715957;9.915335219;22.77403304;1.560561053;19.52865763;26.01940845;5.991996035
Pb;SM_GP2-4_19;GP;SM;42.7586;2.9661;36.4707;49.0466;81.1143;1.5532;77.8216;84.4069;116.2574;4.2964;107.1495;125.3654;23.07690272;1.600810157;19.6833104;26.47054901;43.60487336;0.834958685;41.8348061;45.37488686;62.41346048;2.306547296;57.52383146;67.30314318;2.71892438
