Metal;Strain;Local;Species;EC05n;SE_EC05n;95L_EC05n;95H_EC05n;EC50n;SE_EC50n;95L_EC50n;95H_EC50n;EC95n;SE_EC95n;95L_EC95n;95H_EC95n;EC05a;SE_EC05a;95L_EC05a;95H_EC05a;EC50a;SE_EC50a;95L_EC50a;95H_EC50a;EC95a;SE_EC95a;95L_EC95a;95H_EC95a;Respons_Range
Ag;SM_GP2-4_13;GP;SM;40.7491;5.1094;29.9177;51.5805;123.1733;4.0044;114.6844;131.6622;229.393;12.342;203.229;255.557;0.010295425;0.001290911;0.007558828;0.013032022;0.03091796;0.001005152;0.028787145;0.033048774;0.057494129;0.003093349;0.05093649;0.064051767;5.629400404
Cd;SM_GP2-4_13;GP;SM;5.92218;0.34206;5.21906;6.62529;12.43053;0.40478;11.5985;13.26257;46.4825;5.9184;34.317;58.648;4.130201462;0.238556868;3.639836892;4.620559058;8.529195227;0.277739376;7.958298708;9.100098607;31.54492175;4.016467808;23.2889169;39.8009266;7.84888335
Co;SM_GP2-4_13;GP;SM;9.19123;0.87517;7.3712;11.01125;28.8546;1.3865;25.9712;31.7381;90.585;10.096;69.59;111.58;5.936314729;0.565243668;4.760816902;7.111806098;18.36946358;0.882675943;16.53382866;20.20516216;57.4015955;6.39759903;44.09755512;70.70563588;9.855590601
Cu;SM_GP2-4_13;GP;SM;2.256783;0.057175;2.137882;2.375684;2.87723;0.02309;2.82922;2.92525;3.298187;0.058446;3.176642;3.419732;8.450940578;0.214102343;8.005693832;8.896187323;10.40069528;0.083466408;10.22714732;10.57427938;11.72355265;0.207748911;11.29151553;12.15558977;1.461455089
Ni;SM_GP2-4_13;GP;SM;2.76355;0.26556;2.20058;3.32651;9.18166;0.33876;8.46351;9.8998;30.5053;2.8822;24.3953;36.6153;1.67155196;0.160625767;1.331035737;2.012062134;5.106524432;0.188406695;4.707114029;5.505929273;16.51893656;1.560741214;13.21030815;19.82756497;11.03844693
Pb;SM_GP2-4_13;GP;SM;55.701;15.822;22.798;88.604;81.2276;5.5603;69.6642;92.7909;100.418;10.033;79.553;121.283;30.0036752;8.522614478;12.2802784;47.727072;43.66551152;2.989049827;37.44937592;49.88159336;53.9362136;5.388894731;42.72926767;65.14315953;1.802804258
Zn;SM_GP2-4_13;GP;SM;8.14944;0.21108;7.71047;8.58842;11.886;0.10775;11.66193;12.11007;17.3358;0.4249;16.4522;18.2194;6.135623072;0.158919793;5.805127423;6.46612625;7.6164218;0.069045049;7.472840138;7.760003462;9.77617754;0.239613853;9.277889;10.27446608;2.127238191
Ag;SM_GP2-4_19;GP;SM;17.9518;2.8266;12.0735;23.83;102.7839;4.4653;93.4979;112.0699;274.122;23.932;224.354;323.891;0.00459154;0.000722961;0.003088045;0.00609501;0.025816532;0.001121562;0.02348414;0.028148923;0.068685324;0.005996517;0.056215215;0.081155684;15.26988937
Cd;SM_GP2-4_19;GP;SM;4.41112;0.30961;3.76725;5.055;10.93295;0.42226;10.05483;11.81108;54.9456;8.8027;36.6394;73.2517;3.108876008;0.218207417;2.655088309;3.562670755;7.516980905;0.290326065;6.913226998;8.120741687;37.26513104;5.970155372;24.84952466;49.6806696;12.45615626
Co;SM_GP2-4_19;GP;SM;5.15371;0.53719;4.03657;6.27086;19.34947;0.70159;17.89042;20.80851;72.647;8.7946;54.3576;90.9364;3.383390833;0.352663173;2.649992711;4.11679552;12.35936988;0.448136839;11.42740954;13.29132383;46.0593981;5.575921683;34.46361637;57.65517983;14.09605896
Cu;SM_GP2-4_19;GP;SM;1.704864;0.037586;1.6267;1.783028;2.222124;0.012025;2.197117;2.247132;2.579061;0.029813;2.517061;2.641061;6.71653512;0.148074972;6.4085978;7.02447244;8.34202467;0.045142776;8.248146466;8.435906628;9.463699193;0.109396894;9.236194163;9.691204222;1.512766414
Ni;SM_GP2-4_19;GP;SM;7.04151;0.52232;5.95528;8.12773;17.2366;0.43812;16.32547;18.14772;42.1927;2.8912;36.1801;48.2053;3.961116152;0.293824789;3.350070624;4.572156055;9.41752832;0.23937479;8.919715957;9.915335219;22.77403304;1.560561053;19.52865763;26.01940845;5.991996035
Pb;SM_GP2-4_19;GP;SM;42.7586;2.9661;36.4707;49.0466;81.1143;1.5532;77.8216;84.4069;116.2574;4.2964;107.1495;125.3654;23.07690272;1.600810157;19.6833104;26.47054901;43.60487336;0.834958685;41.8348061;45.37488686;62.41346048;2.306547296;57.52383146;67.30314318;2.71892438
