Metal;Strain;Local;Species;EC;Conc;SE;95L;95H;Respons_Range
Ag;SM_GP2-4_13;GP;SM;EC05;0.010295425;0.001290911;0.007558828;0.013032022;
Cd;SM_GP2-4_13;GP;SM;EC05;4.130201462;0.238556868;3.639836892;4.620559058;
Co;SM_GP2-4_13;GP;SM;EC05;5.936314729;0.565243668;4.760816902;7.111806098;
Cu;SM_GP2-4_13;GP;SM;EC05;8.450940578;0.214102343;8.005693832;8.896187323;
Ni;SM_GP2-4_13;GP;SM;EC05;1.67155196;0.160625767;1.331035737;2.012062134;
Pb;SM_GP2-4_13;GP;SM;EC05;30.0036752;8.522614478;12.2802784;47.727072;
Zn;SM_GP2-4_13;GP;SM;EC05;6.135623072;0.158919793;5.805127423;6.46612625;
Ag;SM_GP2-4_19;GP;SM;EC05;0.00459154;0.000722961;0.003088045;0.00609501;
Cd;SM_GP2-4_19;GP;SM;EC05;3.108876008;0.218207417;2.655088309;3.562670755;
Co;SM_GP2-4_19;GP;SM;EC05;3.383390833;0.352663173;2.649992711;4.11679552;
Cu;SM_GP2-4_19;GP;SM;EC05;6.71653512;0.148074972;6.4085978;7.02447244;
Ni;SM_GP2-4_19;GP;SM;EC05;3.961116152;0.293824789;3.350070624;4.572156055;
Pb;SM_GP2-4_19;GP;SM;EC05;23.07690272;1.600810157;19.6833104;26.47054901;
Zn;SM_GP2-4_19;GP;SM;EC05;5.484632951;0.18914097;5.091296607;5.877969295;
Ag;SM_GP2-4_20;GP;SM;EC05;0.014975716;0.001179034;0.012523771;0.017427636;
Cd;SM_GP2-4_20;GP;SM;EC05;2.983591184;0.16054129;2.649722066;3.317460302;
Co;SM_GP2-4_20;GP;SM;EC05;5.240190367;0.35777105;4.496168302;5.984212432;
Cu;SM_GP2-4_20;GP;SM;EC05;7.702956443;0.106564456;7.481341447;7.924567622;
Ni;SM_GP2-4_20;GP;SM;EC05;2.5711964;0.13231147;2.296038757;2.846354043;
Pb;SM_GP2-4_20;GP;SM;EC05;22.5453956;1.017809996;20.38772478;24.70306642;
Zn;SM_GP2-4_20;GP;SM;EC05;5.592375032;0.153746918;5.272629952;5.912111862;
Ag;SM_GP2-4_16;GP;SM;EC05;0.000551061;0.000676905;-0.000883904;0.001986056;
Cd;SM_GP2-4_16;GP;SM;EC05;6.28194263;2.149632103;1.811516408;10.75243784;
Co;SM_GP2-4_16;GP;SM;EC05;4.63622373;1.231067466;2.076102429;7.196345031;
Cu;SM_GP2-4_16;GP;SM;EC05;6.9483762;0.723652458;5.443449423;8.453302977;
Ni;SM_GP2-4_16;GP;SM;EC05;7.46137232;5.44835762;-3.869073367;18.79181801;
Pb;SM_GP2-4_16;GP;SM;EC05;52.0753232;47.38676603;-46.47032715;150.6215107;
Zn;SM_GP2-4_16;GP;SM;EC05;7.44743948;2.567376668;2.108296836;12.78664711;
Ag;TB_GP2-4_11;GP;TB;EC05;0.004594843;0.00455699;-0.004882069;0.014071755;
