Metal;Strain;Local;Species;EC;Conc;SE;95L;95H;Respons_Range
Ag;SM_GP2-4_13;GP;SM;EC05;0.010295425;0.001378372;0.007585409;0.013005441;
Cd;SM_GP2-4_13;GP;SM;EC05;4.130201462;0.358598354;3.654962654;4.605433511;
Co;SM_GP2-4_13;GP;SM;EC05;5.936314729;0.678069991;4.78550976;7.087113375;
Cu;SM_GP2-4_13;GP;SM;EC05;8.450940578;1.538672438;8.077294185;8.82458697;
Ni;SM_GP2-4_13;GP;SM;EC05;1.67155196;0.334627712;1.370250416;1.972848152;
Pb;SM_GP2-4_13;GP;SM;EC05;30.0036752;8.6604344;12.3939896;47.6133608;
Zn;SM_GP2-4_13;GP;SM;EC05;6.135623072;2.989651004;5.961659261;6.309590846;
Ag;SM_GP2-4_19;GP;SM;EC05;0.00459154;0.000807215;0.00312079;0.006062266;
Cd;SM_GP2-4_19;GP;SM;EC05;3.108876008;0.336665399;2.673684275;3.5440745;
Co;SM_GP2-4_19;GP;SM;EC05;3.383390833;0.464365237;2.677023211;4.089764778;
Cu;SM_GP2-4_19;GP;SM;EC05;6.71653512;1.477114005;6.47090475;6.96216549;
Ni;SM_GP2-4_19;GP;SM;EC05;3.961116152;0.472045664;3.379765856;4.542461096;
Pb;SM_GP2-4_19;GP;SM;EC05;23.07690272;1.77995672;19.71161864;26.44224032;
Zn;SM_GP2-4_19;GP;SM;EC05;5.484632951;2.994925757;5.299703519;5.669562383;
Ag;SM_GP2-4_20;GP;SM;EC05;0.014975716;0.001271161;0.012540144;0.017411263;
Cd;SM_GP2-4_20;GP;SM;EC05;2.983591184;0.281086142;2.663978351;3.303204017;
Co;SM_GP2-4_20;GP;SM;EC05;5.240190367;0.473957228;4.51387368;5.966507054;
Cu;SM_GP2-4_20;GP;SM;EC05;7.702956443;1.44676374;7.520440043;7.8854697;
Ni;SM_GP2-4_20;GP;SM;EC05;2.5711964;0.314905592;2.316639224;2.825753576;
Pb;SM_GP2-4_20;GP;SM;EC05;22.5453956;1.2016196;20.40614768;24.68464352;
Zn;SM_GP2-4_20;GP;SM;EC05;5.592375032;2.979854468;5.438781041;5.74596506;
Ag;SM_GP2-4_16;GP;SM;EC05;0.000551061;0.000654068;0.0001;0.001725649;
Cd;SM_GP2-4_16;GP;SM;EC05;6.28194263;2.23343681;1.90217822;10.66177463;
Co;SM_GP2-4_16;GP;SM;EC05;4.63622373;1.32265558;2.14496173;7.12748573;
Cu;SM_GP2-4_16;GP;SM;EC05;6.9483762;1.9411167;5.737790925;8.158961475;
Ni;SM_GP2-4_16;GP;SM;EC05;7.46137232;5.50029248;0.0001;18.49949768;
Pb;SM_GP2-4_16;GP;SM;EC05;52.0753232;47.4040976;0.0001;150.257228;
Zn;SM_GP2-4_16;GP;SM;EC05;7.44743948;4.47158315;4.19163683;10.70328176;
Ag;TB_GP2-4_11;GP;TB;EC05;0.004594843;0.004557813;0.0001;0.013865504;
Cd;TB_GP2-4_11;GP;TB;EC05;3.060555917;0.508093916;2.268860729;3.852244346;
