Replicate;Treatment;Timepoint;Metal;Species;Growth;Inhibition;RateRelativeSM;Time;id
1;T3_Ag_SM;0-4;Ag;SM;-0.528988352;1.348560951;-0.086859207;2;A
2;T3_Ag_SM;0-4;Ag;SM;-0.44058528;1.290310408;0.001543865;2;B
3;T3_Ag_SM;0-4;Ag;SM;-0.356813804;1.235111715;0.085315341;2;C
1;T4_C_SM;0-4;Control;SM;1.513496226;0.002727221;-0.004138926;2;D
2;T4_C_SM;0-4;Control;SM;1.524773803;-0.004703799;0.007138651;2;E
3;T4_C_SM;0-4;Control;SM;1.514635427;0.001976578;-0.002999725;2;F
1;T3_Cd_SM;0-4;Cd;SM;1.113262918;0.266448911;0.029695627;2;G
2;T3_Cd_SM;0-4;Cd;SM;1.12915573;0.255976822;0.045588439;2;H
3;T3_Cd_SM;0-4;Cd;SM;1.008283224;0.335622121;-0.075284066;2;K
1;T4_Cu_SM;0-4;Cu;SM;0.605999474;0.600694888;-0.004837503;2;L
2;T4_Cu_SM;0-4;Cu;SM;0.641935664;0.577015818;0.031098687;2;M
3;T4_Cu_SM;0-4;Cu;SM;0.584575794;0.614811377;-0.026261183;2;N
1;T3_Ag_TB;0-4;Ag;TB;0.334434036;0.267530335;0.776563182;2;A
2;T3_Ag_TB;0-4;Ag;TB;0.465448232;-0.019413917;0.907577378;2;B
3;T3_Ag_TB;0-4;Ag;TB;0.43032806;0.057505469;0.872457206;2;C
1;T4_C_TB;0-4;Control;TB;0.455403108;0.002586681;-1.062232044;2;D
2;T4_C_TB;0-4;Control;TB;0.451699337;0.010698595;-1.065935815;2;E
3;T4_C_TB;0-4;Control;TB;0.462649992;-0.013285277;-1.05498516;2;F
1;T3_Cd_TB;0-4;Cd;TB;0.092084459;0.798318755;-0.991482832;2;G
2;T3_Cd_TB;0-4;Cd;TB;0;1;-1.083567291;2;H
3;T3_Cd_TB;0-4;Cd;TB;0.207509871;0.545516696;-0.876057419;2;K
1;T4_Cu_TB;0-4;Cu;TB;0.378531933;0.170948145;-0.232305044;2;L
2;T4_Cu_TB;0-4;Cu;TB;0.41467724;0.091783532;-0.196159737;2;M
3;T4_Cu_TB;0-4;Cu;TB;0.440246953;0.035781341;-0.170590025;2;N
1;T7_Ag_SM;4-7;Ag;SM;-0.093980621;1.055793579;0.074797478;5.5;A
2;T7_Ag_SM;4-7;Ag;SM;-0.157678408;1.093609114;0.011099692;5.5;B
3;T7_Ag_SM;4-7;Ag;SM;-0.254675269;1.151193347;-0.08589717;5.5;C
1;T7_C_SM;4-7;Control;SM;1.702239989;-0.010570685;0.017805625;5.5;D
2;T7_C_SM;4-7;Control;SM;1.649669328;0.020638997;-0.034765036;5.5;E
3;T7_C_SM;4-7;Control;SM;1.701393775;-0.010068312;0.016959411;5.5;F
1;T7_Cd_SM;4-7;Cd;SM;0.588146091;0.650834664;-0.043998507;5.5;G
2;T7_Cd_SM;4-7;Cd;SM;0.550147266;0.673393468;-0.081997333;5.5;H
3;T7_Cd_SM;4-7;Cd;SM;0.758140438;0.549913933;0.12599584;5.5;K
1;T7_Cu_SM;4-7;Cu;SM;0.651821839;0.613032213;-0.008656243;5.5;L
2;T7_Cu_SM;4-7;Cu;SM;0.584992169;0.652707056;-0.075485913;5.5;M
3;T7_Cu_SM;4-7;Cu;SM;0.744620238;0.557940485;0.084142156;5.5;N
1;T7_Ag_TB;4-7;Ag;TB;0.908937615;0.097915925;1.077715714;5.5;A
2;T7_Ag_TB;4-7;Ag;TB;0.803783816;0.202276847;0.972561915;5.5;B
3;T7_Ag_TB;4-7;Ag;TB;0.833621897;0.17266375;1.002399997;5.5;C
1;T7_C_TB;4-7;Control;TB;0.948950868;0.058204379;-0.735483496;5.5;D
2;T7_C_TB;4-7;Control;TB;1.019912535;-0.012222225;-0.66452183;5.5;E
3;T7_C_TB;4-7;Control;TB;1.053928953;-0.045982154;-0.630505411;5.5;F
1;T7_Cd_TB;4-7;Cd;TB;0.356276285;0.646410097;-0.275868313;5.5;G
2;T7_Cd_TB;4-7;Cd;TB;0.197417541;0.80407102;-0.434727058;5.5;H
3;T7_Cd_TB;4-7;Cd;TB;-0.481381153;1.477751459;-1.113525751;5.5;K
1;T7_Cu_TB;4-7;Cu;TB;0.730776202;0.274733971;0.07029812;5.5;L
2;T7_Cu_TB;4-7;Cu;TB;0.790032526;0.21592445;0.129554445;5.5;M
3;T7_Cu_TB;4-7;Cu;TB;0.767244797;0.238540356;0.106766715;5.5;N
1;T10_Ag_SM;7-10;Ag;SM;-0.387716937;1.252679285;-0.228848768;8.5;A
2;T10_Ag_SM;7-10;Ag;SM;-0.448490789;1.292286257;-0.289622621;8.5;B
3;T10_Ag_SM;7-10;Ag;SM;0.35960322;0.765642725;0.518471389;8.5;C
1;T10_C_SM;7-10;Control;SM;1.563942922;-0.019238374;0.029519806;8.5;D
2;T10_C_SM;7-10;Control;SM;1.588490607;-0.035236363;0.05406749;8.5;E
3;T10_C_SM;7-10;Control;SM;1.45083582;0.054474737;-0.083587296;8.5;F
1;T10_Cd_SM;7-10;Cd;SM;0.636247608;0.585350611;0.02290218;8.5;G
2;T10_Cd_SM;7-10;Cd;SM;0.658870103;0.570607288;0.045524675;8.5;H
3;T10_Cd_SM;7-10;Cd;SM;0.544918573;0.644870722;-0.068426855;8.5;K
1;T10_Cu_SM;7-10;Cu;SM;-0.408708536;1.266359736;0.013695218;8.5;L
2;T10_Cu_SM;7-10;Cu;SM;-0.265939268;1.173315473;0.156464486;8.5;M
3;T10_Cu_SM;7-10;Cu;SM;-0.592563458;1.38617996;-0.170159704;8.5;N
