Metal;t;PAM;RedBlue;id;time;id2
Control;0.083;0.54;1.559211;1;t0.083;A
Control;0.083;0.51;1.466216;2;t0.083;B
Control;0.083;0.5;1.553571;3;t0.083;C
Control;0.083;0.56;1.165829;4;t0.083;D
Cu;0.083;0.53;1.413793;1;t0.083;E
Cu;0.083;0.53;1.692308;2;t0.083;F
Cu;0.083;0.53;1.285714;3;t0.083;G
Cu;0.083;0.5;1.463938333;4;t0.083;H
Cd;0.083;0.62;1.271523;1;t0.083;K
Cd;0.083;0.66;1.019868;2;t0.083;L
Cd;0.083;0.61;1.367188;3;t0.083;M
Cd;0.083;0.6;1.612069;4;t0.083;N
Ag;0.083;0.62;1.076923;1;t0.083;O
Ag;0.083;0.68;0.872549;2;t0.083;P
Ag;0.083;0.65;1.22449;3;t0.083;Q
Ag;0.083;0.63;1.05102;4;t0.083;R
Control;1;0.59;1.493151;1;t1;A
Control;1;0.63;1.223776;2;t1;B
Control;1;0.64;1.304598;3;t1;C
Control;1;0.64;1.136095;4;t1;D
Cu;1;0.44;2.378378;1;t1;E
Cu;1;0.3;2.609375;2;t1;F
Cu;1;0.43;2.946667;3;t1;G
Cu;1;0.47;1.85;4;t1;H
Cd;1;0.5;1.239544;1;t1;K
Cd;1;0.59;1.341584;2;t1;L
Cd;1;0.55;1.1625;3;t1;M
Cd;1;0.54;1.425743;4;t1;N
Ag;1;0.14;2.177419;1;t1;O
Ag;1;0.3;1.78125;2;t1;P
Ag;1;0.34;1.987654;3;t1;Q
Ag;1;0.35;1.804878;4;t1;R
Control;2;0.65;1.170616;1;t2;A
Control;2;0.65;1.219731;2;t2;B
Control;2;0.66;1.184211;3;t2;C
Control;2;0.65;1.188073;4;t2;D
Cu;2;0.66;1.783505;1;t2;E
Cu;2;0.64;1.927711;2;t2;F
Cu;2;0.66;1.810127;3;t2;G
Cu;2;0.68;2.77381;4;t2;H
Cd;2;0.5;1.316062;1;t2;K
Cd;2;0.52;1.309392;2;t2;L
Cd;2;0.51;1.26971;3;t2;M
Cd;2;0.51;1.360577;4;t2;N
Ag;2;0.51;6.774194;1;t2;O
Ag;2;0.44;4.136364;2;t2;P
Ag;2;0.66;4.076923;3;t2;Q
Ag;2;0.37;3.472727;4;t2;R
Control;3;0.59;1.258373;1;t3;A
Control;3;0.61;1.308943;2;t3;B
Control;3;0.63;1.19457;3;t3;C
Control;3;0.63;1.110656;4;t3;D
Cu;3;0.64;1.492308;1;t3;E
Cu;3;0.6;1.447154;2;t3;F
Cu;3;0.6;1.759036;3;t3;G
Cu;3;0.58;1.561644;4;t3;H
Cd;3;0.44;1.491228;1;t3;K
Cd;3;0.49;1.244681;2;t3;L
Cd;3;0.41;1.430108;3;t3;M
Cd;3;0.47;1.527607;4;t3;N
Ag;3;0.57;3.070175;1;t3;O
Ag;3;0.5;6.166667;2;t3;P
Ag;3;0.42;3.726027;3;t3;Q
Ag;3;0.42;3.635135;4;t3;R
Control;4;0.62;1.215297;1;t4;A
Control;4;0.63;1.267647;2;t4;B
Control;4;0.64;1.207407;3;t4;C
Control;4;0.62;1.15051;4;t4;D
Cu;4;0.63;1.438819;1;t4;E
Cu;4;0.64;1.321586;2;t4;F
Cu;4;0.63;1.288;3;t4;G
Cu;4;0.62;1.356495;4;t4;H
Cd;4;0.4;1.322581;1;t4;K
Cd;4;0.45;1.40873;2;t4;L
Cd;4;0.44;1.265823;3;t4;M
Cd;4;0.45;1.316832;4;t4;N
Ag;4;0.61;2.963768;1;t4;O
Ag;4;0.49;3.138211;2;t4;P
Ag;4;0.41;6.258065;3;t4;Q
Ag;4;0.59;3.032432;4;t4;R
Control;7;0.63;1.113636;1;t7;A
Control;7;0.63;1.117371;2;t7;B
Control;7;0.65;1.133829;3;t7;C
Control;7;0.63;1.300752;4;t7;D
Cu;7;0.66;1.201365;1;t7;E
Cu;7;0.63;1.407534;2;t7;F
Cu;7;0.63;1.230947;3;t7;G
Cu;7;0.65;1.249211;4;t7;H
Cd;7;0.48;1.147982;1;t7;K
Cd;7;0.36;1.273438;2;t7;L
Cd;7;0.45;1.282609;3;t7;M
Cd;7;0.44;1.194346;4;t7;N
Ag;7;0.61;1.711864;1;t7;O
Ag;7;0.61;1.648094;2;t7;P
Ag;7;0.62;1.635179;3;t7;Q
Ag;7;0.58;1.831373;4;t7;R
Control;10;0.65;1.19403;1;t10;A
Control;10;0.64;1.193384;2;t10;B
Control;10;0.66;1.166102;3;t10;C
Control;10;0.67;1.20122;4;t10;D
Cu;10;0.58;;1;t10;E
Cu;10;0.78;;2;t10;F
Cu;10;0.47;;3;t10;G
Cu;10;0.43;;4;t10;H
Cd;10;0.42;1.327273;1;t10;K
Cd;10;0.42;1.309278;2;t10;L
Cd;10;0.43;1.176471;3;t10;M
Cd;10;0.39;1.304833;4;t10;N
Ag;10;0.65;1.52381;1;t10;O
Ag;10;0.58;1.561947;2;t10;P
Ag;10;0.57;1.539792;3;t10;Q
Ag;10;0.63;1.417241;4;t10;R
