Metal;t;RFU;;;
Control;0;0.003;;;
Control;0;0.003;;;
Control;0;0.003;;;
Control;0;0.003;;;
Cu;0;0.003;;;
Cu;0;0.003;;;
Cu;0;0.003;;;
Cu;0;0.003;;;
Cd;0;0.003;;;
Cd;0;0.003;;;
Cd;0;0.003;;;
Cd;0;0.003;;;
Ag;0;0.003;;;
Ag;0;0.003;;;
Ag;0;0.003;;;
Ag;0;0.003;;;
Ag;0;0.003;;;
Control;1;0.006807003;;;
Control;1;0.010140108;;;
Control;1;0.009538046;;;
Control;1;0.008648322;;;
Cu;1;0.001495073;;;
Cu;1;0.001488532;;;
Cu;1;0.002111305;;;
Cu;1;0.001501958;;;
Cd;1;0.007926186;;;
Cd;1;0.005968534;;;
Cd;1;0.009954819;;;
Cd;1;0.009902167;;;
Ag;1;0.002379785;;;
Ag;1;0.002602312;;;
Ag;1;0.003624912;;;
Ag;1;0.003062924;;;
Ag;1;0.002917483;;;
Control;2;0.032550804;;;
Control;2;0.027785048;;;
Control;2;0.026447848;;;
Control;2;0.027009528;;;
Cu;2;0.00308873;;;
Cu;2;0.003195633;;;
Cu;2;0.003428305;;;
Cu;2;0.004600102;;;
Cd;2;0.012921515;;;
Cd;2;0.011288189;;;
Cd;2;0.014220705;;;
Cd;2;0.016027617;;;
Ag;2;0.003320814;;;
Ag;2;0.001835931;;;
Ag;2;0.002275272;;;
Ag;2;0.002548428;;;
Ag;2;0.002495111;;;
Control;3;0.116884412;;;
Control;3;0.133771642;;;
Control;3;0.128401548;;;
Control;3;0.14025592;;;
Cu;3;0.005480344;;;
Cu;3;0.00720471;;;
Cu;3;0.00594472;;;
Cu;3;0.007036816;;;
Cd;3;0.023036192;;;
Cd;3;0.029120304;;;
Cd;3;0.026400068;;;
Cd;3;0.028458136;;;
Ag;3;0.00278027;;;
Ag;3;0.003541574;;;
Ag;3;0.002770932;;;
Ag;3;0.003502262;;;
Ag;3;0.00314876;;;
Control;4;0.463113703;;;
Control;4;0.536083743;;;
Control;4;0.456123023;;;
Control;4;0.630812863;;;
Cu;4;0.016477355;;;
Cu;4;0.014364882;;;
Cu;4;0.014189967;;;
Cu;4;0.019215091;;;
Cd;4;0.039623291;;;
Cd;4;0.035751319;;;
Cd;4;0.035670355;;;
Cd;4;0.037835339;;;
Ag;4;0.002009185;;;
Ag;4;0.003923755;;;
Ag;4;0.00416796;;;
Ag;4;0.0032726;;;
Ag;4;0.003343375;;;
Control;4.0001;0.003;;;
Control;4.0001;0.003;;;
Control;4.0001;0.003;;;
Control;4.0001;0.003;;;
Cu;4.0001;0.003;;;
Cu;4.0001;0.003;;;
Cu;4.0001;0.003;;;
Cu;4.0001;0.003;;;
Cd;4.0001;0.003;;;
Cd;4.0001;0.003;;;
Cd;4.0001;0.003;;;
Cd;4.0001;0.003;;;
Ag;4.0001;0.001;;;
Ag;4.0001;0.002;;;
Ag;4.0001;0.003;;;
Ag;4.0001;0.002;;;
Ag;4.0001;0.002;;;
Control;7;0.429688704;;;
Control;7;0.425004264;;;
Control;7;0.405576704;;;
Control;7;0.465075504;;;
Cu;7;0.017046764;;;
Cu;7;0.026509636;;;
Cu;7;0.033092176;;;
Cu;7;0.019379748;;;
Cd;7;0.03131642;;;
Cd;7;0.034421536;;;
Cd;7;0.033442004;;;
Cd;7;0.038380836;;;
Ag;7;0.014997526;;;
Ag;7;0.01556158;;;
Ag;7;0.022065719;;;
Ag;7;0.015874857;;;
Ag;7;0.01712492;;;
Control;7.0001;0.003;;;
Control;7.0001;0.003;;;
Control;7.0001;0.003;;;
Control;7.0001;0.003;;;
Cu;7.0001;0.003;;;
Cu;7.0001;0.003;;;
Cu;7.0001;0.003;;;
Cu;7.0001;0.003;;;
Cd;7.0001;0.003;;;
Cd;7.0001;0.003;;;
Cd;7.0001;0.003;;;
Cd;7.0001;0.003;;;
Ag;7.0001;0.003;;;
Ag;7.0001;0.003;;;
Ag;7.0001;0.003;;;
Ag;7.0001;0.003;;;
Ag;7.0001;0.003;;;
Control;10;0.2506572;;;
Control;10;0.219464808;;;
Control;10;0.21643964;;;
Control;10;0.22669264;;;
Cu;10;0.006935994;;;
Cu;10;0.00587599;;;
Cu;10;0.005594085;;;
Cu;10;0.005442408;;;
Cd;10;0.026981692;;;
Cd;10;0.024051968;;;
Cd;10;0.025995056;;;
Cd;10;0.02374442;;;
Ag;10;0.025419044;;;
Ag;10;0.027635992;;;
Ag;10;0.024702572;;;
Ag;10;0.024584104;;;
Ag;10;0.025585428;;;
