"Metal",".y.","group1","group2","n1","n2","p","p.signif","p.adj","p.adj.signif"
"1","Control","Inhibition","0-4","4-7",3,3,1,"ns",1,"ns"
"2","Control","Inhibition","0-4","7-10",3,3,1,"ns",1,"ns"
"3","Control","Inhibition","4-7","7-10",3,3,1,"ns",1,"ns"
"4","Ag","Inhibition","0-4","4-7",3,3,0.229,"ns",0.686,"ns"
"5","Ag","Inhibition","0-4","7-10",3,3,0.236,"ns",0.708,"ns"
"6","Ag","Inhibition","4-7","7-10",3,3,0.982,"ns",1,"ns"
"7","Cd","Inhibition","0-4","4-7",3,3,0.000182,"***",0.000545,"***"
"8","Cd","Inhibition","0-4","7-10",3,3,0.000275,"***",0.000824,"***"
"9","Cd","Inhibition","4-7","7-10",3,3,0.577,"ns",1,"ns"
"10","Cu","Inhibition","0-4","4-7",3,3,0.859,"ns",1,"ns"
"11","Cu","Inhibition","0-4","7-10",3,3,1.9e-05,"****",5.69e-05,"****"
"12","Cu","Inhibition","4-7","7-10",3,3,2.07e-05,"****",6.22e-05,"****"
