"time",".y.","group1","group2","n1","n2","p","p.signif","p.adj","p.adj.signif"
"1","t0.083","PAM","Ag","Cd",4,4,0.216,"ns",1,"ns"
"2","t0.083","PAM","Ag","Control",4,4,1.85e-05,"****",0.000111,"***"
"3","t0.083","PAM","Cd","Control",4,4,0.000133,"***",8e-04,"***"
"4","t0.083","PAM","Ag","Cu",4,4,1.23e-05,"****",7.39e-05,"****"
"5","t0.083","PAM","Cd","Cu",4,4,8.42e-05,"****",0.000505,"***"
"6","t0.083","PAM","Control","Cu",4,4,0.777,"ns",1,"ns"
"7","t1","PAM","Ag","Cd",4,4,0.000102,"***",0.000615,"***"
"8","t1","PAM","Ag","Control",4,4,8.16e-06,"****",4.9e-05,"****"
"9","t1","PAM","Cd","Control",4,4,0.109,"ns",0.655,"ns"
"10","t1","PAM","Ag","Cu",4,4,0.0173,"*",0.104,"ns"
"11","t1","PAM","Cd","Cu",4,4,0.0128,"*",0.0769,"ns"
"12","t1","PAM","Control","Cu",4,4,0.000559,"***",0.00335,"**"
"13","t10","PAM","Ag","Cd",4,4,0.00585,"**",0.0351,"*"
"14","t10","PAM","Ag","Control",4,4,0.426,"ns",1,"ns"
"15","t10","PAM","Cd","Control",4,4,0.0013,"**",0.00782,"**"
"16","t10","PAM","Ag","Cu",4,4,0.475,"ns",1,"ns"
"17","t10","PAM","Cd","Cu",4,4,0.023,"*",0.138,"ns"
"18","t10","PAM","Control","Cu",4,4,0.144,"ns",0.864,"ns"
"19","t2","PAM","Ag","Cd",4,4,0.741,"ns",1,"ns"
"20","t2","PAM","Ag","Control",4,4,0.00398,"**",0.0239,"*"
"21","t2","PAM","Cd","Control",4,4,0.00743,"**",0.0446,"*"
"22","t2","PAM","Ag","Cu",4,4,0.00292,"**",0.0175,"*"
"23","t2","PAM","Cd","Cu",4,4,0.00543,"**",0.0326,"*"
"24","t2","PAM","Control","Cu",4,4,0.868,"ns",1,"ns"
"25","t3","PAM","Ag","Cd",4,4,0.429,"ns",1,"ns"
"26","t3","PAM","Ag","Control",4,4,0.000719,"***",0.00432,"**"
"27","t3","PAM","Cd","Control",4,4,0.000181,"***",0.00108,"**"
"28","t3","PAM","Ag","Cu",4,4,0.00128,"**",0.00769,"**"
"29","t3","PAM","Cd","Cu",4,4,0.000311,"***",0.00186,"**"
"30","t3","PAM","Control","Cu",4,4,0.749,"ns",1,"ns"
"31","t4","PAM","Ag","Cd",4,4,0.0219,"*",0.132,"ns"
"32","t4","PAM","Ag","Control",4,4,0.0111,"*",0.0668,"ns"
"33","t4","PAM","Cd","Control",4,4,0.000111,"***",0.000666,"***"
"34","t4","PAM","Ag","Cu",4,4,0.00972,"**",0.0583,"ns"
"35","t4","PAM","Cd","Cu",4,4,9.89e-05,"****",0.000593,"***"
"36","t4","PAM","Control","Cu",4,4,0.943,"ns",1,"ns"
"37","t7","PAM","Ag","Cd",4,4,1.87e-06,"****",1.12e-05,"****"
"38","t7","PAM","Ag","Control",4,4,0.162,"ns",0.975,"ns"
"39","t7","PAM","Cd","Control",4,4,3.41e-07,"****",2.04e-06,"****"
"40","t7","PAM","Ag","Cu",4,4,0.0875,"ns",0.525,"ns"
"41","t7","PAM","Cd","Cu",4,4,2.29e-07,"****",1.38e-06,"****"
"42","t7","PAM","Control","Cu",4,4,0.716,"ns",1,"ns"
