"time",".y.","group1","group2","n1","n2","p","p.signif","p.adj","p.adj.signif"
"1","t0.083","RedBlue","Ag","Cd",4,4,0.0751,"ns",0.45,"ns"
"2","t0.083","RedBlue","Ag","Control",4,4,0.0151,"*",0.0906,"ns"
"3","t0.083","RedBlue","Cd","Control",4,4,0.394,"ns",1,"ns"
"4","t0.083","RedBlue","Ag","Cu",4,4,0.0103,"*",0.0617,"ns"
"5","t0.083","RedBlue","Cd","Cu",4,4,0.297,"ns",1,"ns"
"6","t0.083","RedBlue","Control","Cu",4,4,0.84,"ns",1,"ns"
"7","t1","RedBlue","Ag","Cd",4,4,0.00496,"**",0.0298,"*"
"8","t1","RedBlue","Ag","Control",4,4,0.00482,"**",0.0289,"*"
"9","t1","RedBlue","Cd","Control",4,4,0.988,"ns",1,"ns"
"10","t1","RedBlue","Ag","Cu",4,4,0.0192,"*",0.115,"ns"
"11","t1","RedBlue","Cd","Cu",4,4,5.06e-05,"****",0.000303,"***"
"12","t1","RedBlue","Control","Cu",4,4,4.94e-05,"****",0.000296,"***"
"13","t10","RedBlue","Ag","Cd",4,4,0.000225,"***",0.000676,"***"
"14","t10","RedBlue","Ag","Control",4,4,1.76e-05,"****",5.27e-05,"****"
"15","t10","RedBlue","Cd","Control",4,4,0.0454,"*",0.136,"ns"
"16","t2","RedBlue","Ag","Cd",4,4,5.8e-05,"****",0.000348,"***"
"17","t2","RedBlue","Ag","Control",4,4,4.12e-05,"****",0.000247,"***"
"18","t2","RedBlue","Cd","Control",4,4,0.825,"ns",1,"ns"
"19","t2","RedBlue","Ag","Cu",4,4,0.000557,"***",0.00334,"**"
"20","t2","RedBlue","Cd","Cu",4,4,0.189,"ns",1,"ns"
"21","t2","RedBlue","Control","Cu",4,4,0.132,"ns",0.791,"ns"
"22","t3","RedBlue","Ag","Cd",4,4,0.000127,"***",0.000763,"***"
"23","t3","RedBlue","Ag","Control",4,4,6.6e-05,"****",0.000396,"***"
"24","t3","RedBlue","Cd","Control",4,4,0.684,"ns",1,"ns"
"25","t3","RedBlue","Ag","Cu",4,4,0.000203,"***",0.00122,"**"
"26","t3","RedBlue","Cd","Cu",4,4,0.778,"ns",1,"ns"
"27","t3","RedBlue","Control","Cu",4,4,0.494,"ns",1,"ns"
"28","t4","RedBlue","Ag","Cd",4,4,0.000832,"***",0.00499,"**"
"29","t4","RedBlue","Ag","Control",4,4,0.00058,"***",0.00348,"**"
"30","t4","RedBlue","Cd","Control",4,4,0.839,"ns",1,"ns"
"31","t4","RedBlue","Ag","Cu",4,4,0.000892,"***",0.00535,"**"
"32","t4","RedBlue","Cd","Cu",4,4,0.969,"ns",1,"ns"
"33","t4","RedBlue","Control","Cu",4,4,0.809,"ns",1,"ns"
"34","t7","RedBlue","Ag","Cd",4,4,3.63e-06,"****",2.18e-05,"****"
"35","t7","RedBlue","Ag","Control",4,4,1.11e-06,"****",6.64e-06,"****"
"36","t7","RedBlue","Cd","Control",4,4,0.352,"ns",1,"ns"
"37","t7","RedBlue","Ag","Cu",4,4,1.04e-05,"****",6.22e-05,"****"
"38","t7","RedBlue","Cd","Cu",4,4,0.443,"ns",1,"ns"
"39","t7","RedBlue","Control","Cu",4,4,0.103,"ns",0.62,"ns"
