NAMN_PROVPLATS;PROVPLATS_ID;NATST_POSITION_N;NATST_POSITION_E;MEDIA;PROVDATATYP;PROVTAG_SYFTE;PROVPLATS_MILJO;PROVPLATS_TYP;LANSID;PROV_KOD_ORIGINAL;PROVTAG_DAT;ANTAL_DAGAR;ART;DYNTAXA_TAXON_ID;KON;ANTAL;ORGAN;FRAKTION;NIVA_FRAN;NIVA_TILL;SEDIMENTTYP;KORNSTORLEK;SEDIMENTFARG;RED_OX;PROV_MIN_DJUP;PROV_MAX_DJUP;VATTENTYP;FILTRERAT;FILTER_STORLEK;VTN_DJUP;VTN_DJUP_METOD;RV_STORLEK;RV_BELASTN_TYP;SLAMTYP;MARKNIVA_OVRE;MARKNIVA_UNDRE;JORDART;PROVOBJEKT;ALDER;HUMANT_PROV;PARAMETERNAMN;UNIK_PARAMETERKOD;MATVARDE;ENHET;MATV_STD;RAPPORTERINGSGRANS_LOQ;DETEKTIONSGRANS_LOD;MATOSAKERHET;MATOSAKERHET_ENHET;MATOSAKERHET_TYP;MATVARDESPAR;LABB;UTFOR_LABB;PROV_LAGR;PROV_BERED;PROVKARL;ANALYS_INSTR;ANALYS_MET;ACKREDITERAD_MET;RAPPORT_KOD_LABB;DATUM_REG;ANALYS_DAT;PROVTAG_ORG;UNDERSOKNINGSTYP;ACKR_PROV;PROVTAG_MET;DIREKT_BEHA;PLATTFORM;KOMMENTAR_PROV;KOMMENTAR_PROVDATA;KOMMENTAR_MATVARDE;BEST_ORG;BESTALLD_UNDERSOKNING;UTFOR_ORG;ORG_TYP;RAPPORTNAMN;KOMMENTAR_ORG;RAPPORTNAMN_DIVA;LANK_TILL_DIVA;INT_RAPPORT
Brunnsjön;103898;6272786;544705;Biota;Biota;IKEU;SJO-SOTV-RINN;Bakgrund;8;6778-2014;2017-07-29;1;Abborre;206198;I;1;MUSKEL;;;;;;;;;;;;;;;;;;;;;;;;Torrvikt, %;CH12/224;20.5;Procent_av_vv;;;;;;;;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;Vet_ej;;;;SLU;MetOrgMiljogFisk_SjoVattDr;Nej;Natfiske;FRYST;;;;;HaV;;HaV;MYNDIG;;;;;
Brunnsjön;103898;6272786;544705;Biota;Biota;IKEU;SJO-SOTV-RINN;Bakgrund;8;6778-2014;2017-07-29;1;Abborre;206198;I;1;MUSKEL;;;;;;;;;;;;;;;;;;;;;;;;Prov våtvikt;CH11/246;0.2034;g;;;;;;;;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;Vet_ej;;;;SLU;MetOrgMiljogFisk_SjoVattDr;Nej;Natfiske;FRYST;;;;;HaV;;HaV;MYNDIG;;;;;
Brunnsjön;103898;6272786;544705;Biota;Biota;IKEU;SJO-SOTV-RINN;Bakgrund;8;6778-2001;2017-07-29;1;Abborre;206198;F;1;MUSKEL;;;;;;;;;;;;;;;;;;;;;;;;Kvicksilver;CH01/86;0.163;mg.kg-1.vv-1;;0.0024;0.0008;0.027;mg.kg-1.vv-1;U2;;ACES;EJ_REL;FRYSTO;SAKNAS;PLAST;AAFS;NA;Ja;;2017-09-01;2017-12-12;SLU;MetOrgMiljogFisk_SjoVattDr;Nej;Natfiske;FRYST;;;;EPA Method 7473;HaV;;HaV;MYNDIG;;;;;
Brunnsjön;103898;6272786;544705;Biota;Biota;IKEU;SJO-SOTV-RINN;Bakgrund;8;6778-2002;2017-07-29;1;Abborre;206198;F;1;HELKROPP;;;;;;;;;;;;;;;;;;;;;;;;Ålder;CH12/239;1;ar;;;;;;;;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;Vet_ej;;;;SLU;MetOrgMiljogFisk_SjoVattDr;Nej;Natfiske;FRYST;;;;;HaV;;HaV;MYNDIG;;;;;
Brunnsjön;103898;6272786;544705;Biota;Biota;IKEU;SJO-SOTV-RINN;Bakgrund;8;6778-2002;2017-07-29;1;Abborre;206198;F;1;HELKROPP;;;;;;;;;;;;;;;;;;;;;;;;Vikt;CH12/232;8.7;g;;;;;;;;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;Vet_ej;;;;SLU;MetOrgMiljogFisk_SjoVattDr;Nej;Natfiske;FRYST;;;;;HaV;;HaV;MYNDIG;;;;;
Brunnsjön;103898;6272786;544705;Biota;Biota;IKEU;SJO-SOTV-RINN;Bakgrund;8;6778-2002;2017-07-29;1;Abborre;206198;F;1;MUSKEL;;;;;;;;;;;;;;;;;;;;;;;;Torrvikt, %;CH12/224;18.7;Procent_av_vv;;;;;;;;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;Vet_ej;;;;SLU;MetOrgMiljogFisk_SjoVattDr;Nej;Natfiske;FRYST;;;;;HaV;;HaV;MYNDIG;;;;;
Brunnsjön;103898;6272786;544705;Biota;Biota;IKEU;SJO-SOTV-RINN;Bakgrund;8;6778-2006;2017-07-29;1;Abborre;206198;F;1;MUSKEL;;;;;;;;;;;;;;;;;;;;;;;;Prov torrvikt;CH11/247;0.0441;g;;;;;;;;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;Vet_ej;;;;SLU;MetOrgMiljogFisk_SjoVattDr;Nej;Natfiske;FRYST;;;;;HaV;;HaV;MYNDIG;;;;;
Brunnsjön;103898;6272786;544705;Biota;Biota;IKEU;SJO-SOTV-RINN;Bakgrund;8;6778-2007;2017-07-29;1;Abborre;206198;F;1;HELKROPP;;;;;;;;;;;;;;;;;;;;;;;;Vikt;CH12/232;9.4;g;;;;;;;;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;Vet_ej;;;;SLU;MetOrgMiljogFisk_SjoVattDr;Nej;Natfiske;FRYST;;;;;HaV;;HaV;MYNDIG;;;;;
Brunnsjön;103898;6272786;544705;Biota;Biota;IKEU;SJO-SOTV-RINN;Bakgrund;8;6778-2007;2017-07-29;1;Abborre;206198;F;1;MUSKEL;;;;;;;;;;;;;;;;;;;;;;;;Prov torrvikt;CH11/247;0.039;g;;;;;;;;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;Vet_ej;;;;SLU;MetOrgMiljogFisk_SjoVattDr;Nej;Natfiske;FRYST;;;;;HaV;;HaV;MYNDIG;;;;;
Brunnsjön;103898;6272786;544705;Biota;Biota;IKEU;SJO-SOTV-RINN;Bakgrund;8;6778-2013;2017-07-29;1;Abborre;206198;F;1;HELKROPP;;;;;;;;;;;;;;;;;;;;;;;;Ålder;CH12/239;2;ar;;;;;;;;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;SAKNAS;Vet_ej;;;;SLU;MetOrgMiljogFisk_SjoVattDr;Nej;Natfiske;FRYST;;;;;HaV;;HaV;MYNDIG;;;;;
