Stationsnamn;MD-MVM Id;EU id;Stationskoordinat N/X;Stationskoordinat E/Y;Provplatskoordinat N/X;Provplatskoordinat E/Y;Koordinatsystem;Provtagningsmedium;Program;Delprogram;Projekt;Län;Kommun;MS_CD C2;MS_CD C3;ProvId;Provdatum;Provtagningsår;Provtagningsmånad;Provtagningsdag;Min provdjup (m);Max provdjup (m);Undersökningstyp;Provkommentar;Value;Unit
Nyköpingsån Spånga;23;SE652370-156442;6522776;610872;6520892;611899;SWEREF 99 TM;Vattendrag;Sötvatten;NMÖ;Flodmynningar;Södermanlands län;Nyköping;WA54398072;WA54398072;382939;2016-01-13;2016;1;13;0,10;0,10;;;35;µg/l
Nyköpingsån Spånga;23;SE652370-156442;6522776;610872;6520892;611899;SWEREF 99 TM;Vattendrag;Sötvatten;NMÖ;Flodmynningar;Södermanlands län;Nyköping;WA54398072;WA54398072;383513;2016-02-16;2016;2;16;0,50;0,50;;;1,3;µg/l
Nyköpingsån Spånga;23;SE652370-156442;6522776;610872;6520892;611899;SWEREF 99 TM;Vattendrag;Sötvatten;NMÖ;Flodmynningar;Södermanlands län;Nyköping;WA54398072;WA54398072;446724;2016-03-16;2016;3;16;0,50;0,50;;;1,4;µg/l
Nyköpingsån Spånga;23;SE652370-156442;6522776;610872;6520892;611899;SWEREF 99 TM;Vattendrag;Sötvatten;NMÖ;Flodmynningar;Södermanlands län;Nyköping;WA54398072;WA54398072;478253;2016-04-13;2016;4;13;0,50;0,50;;;1,3;µg/l
Nyköpingsån Spånga;23;SE652370-156442;6522776;610872;6520892;611899;SWEREF 99 TM;Vattendrag;Sötvatten;NMÖ;Flodmynningar;Södermanlands län;Nyköping;WA54398072;WA54398072;500340;2016-05-11;2016;5;11;0,10;0,10;;;3;µg/l
Nyköpingsån Spånga;23;SE652370-156442;6522776;610872;6520892;611899;SWEREF 99 TM;Vattendrag;Sötvatten;NMÖ;Flodmynningar;Södermanlands län;Nyköping;WA54398072;WA54398072;500917;2016-06-15;2016;6;15;0,10;0,10;;;1,8;µg/l
Nyköpingsån Spånga;23;SE652370-156442;6522776;610872;6520892;611899;SWEREF 99 TM;Vattendrag;Sötvatten;NMÖ;Flodmynningar;Södermanlands län;Nyköping;WA54398072;WA54398072;515928;2016-07-12;2016;7;12;0,10;0,10;;;6,1;µg/l
Nyköpingsån Spånga;23;SE652370-156442;6522776;610872;6520892;611899;SWEREF 99 TM;Vattendrag;Sötvatten;NMÖ;Flodmynningar;Södermanlands län;Nyköping;WA54398072;WA54398072;524386;2016-08-10;2016;8;10;0,20;0,20;;Hämtaren är på lagning, tar provet ca 20 m uppströms på en utskjutande udde.;0,87;µg/l
Nyköpingsån Spånga;23;SE652370-156442;6522776;610872;6520892;611899;SWEREF 99 TM;Vattendrag;Sötvatten;NMÖ;Flodmynningar;Södermanlands län;Nyköping;WA54398072;WA54398072;543527;2016-09-15;2016;9;15;0,50;0,50;;;0,58;µg/l
Nyköpingsån Spånga;23;SE652370-156442;6522776;610872;6520892;611899;SWEREF 99 TM;Vattendrag;Sötvatten;NMÖ;Flodmynningar;Södermanlands län;Nyköping;WA54398072;WA54398072;543733;2016-10-12;2016;10;12;0,10;0,10;;;0,7;µg/l
Nyköpingsån Spånga;23;SE652370-156442;6522776;610872;6520892;611899;SWEREF 99 TM;Vattendrag;Sötvatten;NMÖ;Flodmynningar;Södermanlands län;Nyköping;WA54398072;WA54398072;549521;2016-11-16;2016;11;16;0,10;0,10;;;1,3;µg/l
Nyköpingsån Spånga;23;SE652370-156442;6522776;610872;6520892;611899;SWEREF 99 TM;Vattendrag;Sötvatten;NMÖ;Flodmynningar;Södermanlands län;Nyköping;WA54398072;WA54398072;556807;2016-12-13;2016;12;13;0,50;0,50;;;0,75;µg/l
Nyköpingsån Spånga;23;SE652370-156442;6522776;610872;6520892;611899;SWEREF 99 TM;Vattendrag;Sötvatten;NMÖ;Flodmynningar;Södermanlands län;Nyköping;WA54398072;WA54398072;589028;2017-01-19;2017;1;19;0,50;0,50;;;2,2;µg/l
Nyköpingsån Spånga;23;SE652370-156442;6522776;610872;6520892;611899;SWEREF 99 TM;Vattendrag;Sötvatten;NMÖ;Flodmynningar;Södermanlands län;Nyköping;WA54398072;WA54398072;607696;2017-02-15;2017;2;15;0,10;0,10;;;0,98;µg/l
Nyköpingsån Spånga;23;SE652370-156442;6522776;610872;6520892;611899;SWEREF 99 TM;Vattendrag;Sötvatten;NMÖ;Flodmynningar;Södermanlands län;Nyköping;WA54398072;WA54398072;624453;2017-03-15;2017;3;15;0,10;0,10;;Mkt skräp vid provtagningsplatsen (flytande) bla 5 st bildäck.;1;µg/l
Nyköpingsån Spånga;23;SE652370-156442;6522776;610872;6520892;611899;SWEREF 99 TM;Vattendrag;Sötvatten;NMÖ;Flodmynningar;Södermanlands län;Nyköping;WA54398072;WA54398072;627629;2017-04-12;2017;4;12;0,50;0,50;;Vattennivån ca +0,5 - 1m;1,1;µg/l
Nyköpingsån Spånga;23;SE652370-156442;6522776;610872;6520892;611899;SWEREF 99 TM;Vattendrag;Sötvatten;NMÖ;Flodmynningar;Södermanlands län;Nyköping;WA54398072;WA54398072;651019;2017-05-17;2017;5;17;0,10;0,10;;;1,2;µg/l
Nyköpingsån Spånga;23;SE652370-156442;6522776;610872;6520892;611899;SWEREF 99 TM;Vattendrag;Sötvatten;NMÖ;Flodmynningar;Södermanlands län;Nyköping;WA54398072;WA54398072;651457;2017-06-14;2017;6;14;0,10;0,10;;mkt pollen på vy vid provt.plats;0,87;µg/l
Nyköpingsån Spånga;23;SE652370-156442;6522776;610872;6520892;611899;SWEREF 99 TM;Vattendrag;Sötvatten;NMÖ;Flodmynningar;Södermanlands län;Nyköping;WA54398072;WA54398072;666656;2017-07-12;2017;7;12;0,10;0,10;Vattenkemi i vattendrag;;0,93;µg/l
