CASnr;ParKod;Parameter;Matris;Value;Status;Enhet;ProvId;UndersId;Undersökning;Provplats;X-Koord;Y-Koord;Kommunnr;Länskod;Vattendistr;StationTyp;Typmiljö;OriginalId;Provtid;Djup;Livsmedel;Provtyp;Belastningstyp;Storlek;Fraktion;Sediment övre;Sediment undre;Slamtyp;Vattenfraktion;Vattentyp;Art;Art(lat);Ålder;Längd;Vikt;Torrvikt%;Fetthalt%;Antal;Kön;Organ;Typ;Analysdatum
7440-50-8;CU;copper;VATTEN;1.3;;µg/l;7391;72;Chemical and biological monitoring of sewage effluent water;Viskan uppströms;6401626;1328642;1490;O;SE5;;;MR 6900-6901+6906;2008-04-02;;;;;;;;;;;Ytvatten;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;4.7;;µg/l;7392;72;Chemical and biological monitoring of sewage effluent water;Viskan 50 m nedströms;6401530;1328487;1490;O;SE5;;;MR 6902-6903+6907;2008-04-02;;;;;;;;;;;Ytvatten;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;5.7;;µg/l;7393;72;Chemical and biological monitoring of sewage effluent water;Viskan 2 km nedströms;6400019;1327280;1490;O;SE5;;;MR 6904-6905+6908;2008-04-02;;;;;;;;;;;Ytvatten;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;3.4;;µg/l;7394;72;Chemical and biological monitoring of sewage effluent water;Viskan uppströms;6401626;1328642;1490;O;SE5;;;MR 7009;2008-08-05;;;;;;;;;;;Ytvatten;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;3;;µg/l;7395;72;Chemical and biological monitoring of sewage effluent water;Viskan 50 m nedströms;6401530;1328487;1490;O;SE5;;;MR 7010;2008-08-05;;;;;;;;;;;Ytvatten;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;4.4;;µg/l;7396;72;Chemical and biological monitoring of sewage effluent water;Viskan 2 km nedströms;6401626;1328642;1490;O;SE5;;;MR 7011;2008-08-05;;;;;;;;;;;Ytvatten;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;3.8;;µg/l;7397;72;Chemical and biological monitoring of sewage effluent water;Gässlösa ARV;;;1490;O;SE5;Diffus;;MR 6875-6877;2008-03-04;;;;;;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;3.1;;µg/l;7398;72;Chemical and biological monitoring of sewage effluent water;Gässlösa ARV;;;1490;O;SE5;Diffus;;MR 6897-6899;2008-04-03;;;;;;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;2.6;;µg/l;7399;72;Chemical and biological monitoring of sewage effluent water;Gässlösa ARV;;;1490;O;SE5;Diffus;;MR 7545;2008-10-23;;;;;;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;4.9;;µg/l;7400;72;Chemical and biological monitoring of sewage effluent water;Gässlösa ARV;;;1490;O;SE5;Diffus;;MR 7005-7008;2008-08-06;;;;;;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;4.4;;µg/l;7401;72;Chemical and biological monitoring of sewage effluent water;Nolhaga ARV;;;;O;SE5;Diffus;;MR 7075-7087;2008-08-19;;;;;;;;;;;Utgående;;;;;;;;;;;;
