MPROG;PURPM;Country;RLABO;STATN;MYEAR;DATE;Latitude;Longitude;Species;SEXCO;NOINP;DEPHU;DEPHL;MATRX;NODIS;PARGROUP;PARAM;BASIS;QFLAG;Value;MUNIT;VFLAG;DETLI;LMQNT;UNCRT;METCU;ALABO;REFSK;METST;METPT;METPS;METFP;METCX;METOA;FORML;Test Organism;SMTYP;FINFL;SUBNO;BULKID;tblAnalysisID;tblParamID;tblSampleID;ug to g;g to mol;mikromolar;uM
COMB;;Lithuania;MRLT;K23;2007;07/03/2007;55.71833333;21.06166667;;;;10;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.24;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288429;318541;0.00000008;0.000000000711674;0.000711674;0.000006331
COMB;;Lithuania;MRLT;K22;2007;07/03/2007;55.73500000;21.05000000;;;;1;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.21;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288441;318543;0.00000008;0.000000000711674;0.000711674;0.000006331
COMB;;Lithuania;MRLT;BMPJ2;2007;07/03/2007;55.88166667;20.34166667;;;;44;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.1;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288471;318548;0.00000008;0.000000000711674;0.000711674;0.000006331
COMB;;Lithuania;MRLT;K41;2007;08/03/2007;55.31166667;20.95666667;;;;10;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.08;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288483;318550;0.00000008;0.000000000711674;0.000711674;0.000006331
COMB;;Lithuania;MRLT;K32;2007;08/03/2007;55.55833333;21.07833333;;;;1;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.31;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288495;318552;0.00000008;0.000000000711674;0.000711674;0.000006331
COMB;;Lithuania;MRLT;K41;2007;16/05/2007;55.31166667;20.95666667;;;;1;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.14;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288525;318557;0.00000008;0.000000000711674;0.000711674;0.000006331
COMB;;Lithuania;MRLT;K41;2007;16/05/2007;55.31166667;20.95666667;;;;12;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.19;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288537;318559;0.00000008;0.000000000711674;0.000711674;0.000006331
COMB;;Lithuania;MRLT;K22;2007;17/05/2007;55.73500000;21.05000000;;;;10;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.13;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288579;318566;0.00000008;0.000000000711674;0.000711674;0.000006331
COMB;;Lithuania;MRLT;BMPJ2;2007;17/05/2007;55.88166667;20.34166667;;;;1;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.84;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288591;318568;0.00000008;0.000000000711674;0.000711674;0.000006331
COMB;;Lithuania;MRLT;J56;2007;08/08/2007;56.02833333;20.83333333;;;;10;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.22;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288633;318575;0.00000008;0.000000000711674;0.000711674;0.000006331
