MPROG;PURPM;Country;RLABO;STATN;MYEAR;DATE;Latitude;Longitude;Species;SEXCO;NOINP;DEPHU;DEPHL;MATRX;NODIS;PARGROUP;PARAM;BASIS;QFLAG;Value;MUNIT;VFLAG;DETLI;LMQNT;UNCRT;METCU;ALABO;REFSK;METST;METPT;METPS;METFP;METCX;METOA;FORML;Test Organism;SMTYP;FINFL;SUBNO;BULKID;tblAnalysisID;tblParamID;tblSampleID
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Lithuania;MRLT;K23;2007;07/03/2007;55.71833333;21.06166667;;;;10;;BF;;I-MET;CU;W;<~Q;4.83;ug/l;;;4.83;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288428;318541
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Lithuania;MRLT;K22;2007;07/03/2007;55.735;21.05;;;;1;;BF;;I-MET;CU;W;<~Q;4.83;ug/l;;;4.83;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288440;318543
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Lithuania;MRLT;BMPJ2;2007;07/03/2007;55.88166667;20.34166667;;;;44;;BF;;I-MET;CU;W;<~Q;4.83;ug/l;;;4.83;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288470;318548
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Lithuania;MRLT;K41;2007;08/03/2007;55.31166667;20.95666667;;;;10;;BF;;I-MET;CU;W;<~Q;4.83;ug/l;;;4.83;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288482;318550
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Lithuania;MRLT;K32;2007;08/03/2007;55.55833333;21.07833333;;;;1;;BF;;I-MET;CU;W;<~Q;4.83;ug/l;;;4.83;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288494;318552
