MPROG;PURPM;Country;RLABO;STATN;MYEAR;DATE;Latitude;Longitude;Species;SEXCO;NOINP;DEPHU;DEPHL;MATRX;NODIS;PARGROUP;PARAM;BASIS;QFLAG;Value;MUNIT;VFLAG;DETLI;LMQNT;UNCRT;METCU;ALABO;REFSK;METST;METPT;METPS;METFP;METCX;METOA;FORML;Test Organism;SMTYP;FINFL;SUBNO;BULKID;tblAnalysisID;tblParamID;tblSampleID
COMB;;Lithuania;MRLT;K23;2007;07/03/2007;55.71833333;21.06166667;;;;10;;BF;;I-MET;CR;W;<~Q;2.69;ug/l;;;2.69;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288431;318541
COMB;;Lithuania;MRLT;K23;2007;07/03/2007;55.71833333;21.06166667;;;;10;;BF;;I-MET;CU;W;<~Q;4.83;ug/l;;;4.83;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288428;318541
COMB;;Lithuania;MRLT;K23;2007;07/03/2007;55.71833333;21.06166667;;;;10;;BF;;I-MET;ZN;W;<~Q;51.5;ug/l;;;51.5;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288430;318541
COMB;;Lithuania;MRLT;K23;2007;07/03/2007;55.71833333;21.06166667;;;;10;;BF;;I-MET;PB;W;<~Q;1.33;ug/l;;;1.33;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288427;318541
COMB;;Lithuania;MRLT;K23;2007;07/03/2007;55.71833333;21.06166667;;;;10;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.24;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288429;318541
COMB;;Lithuania;MRLT;K23;2007;07/03/2007;55.71833333;21.06166667;;;;10;;BF;;I-MET;HG;W;<~Q;0.04;ug/l;;;0.04;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288426;318541
COMB;;Lithuania;MRLT;K22;2007;07/03/2007;55.73500000;21.05000000;;;;1;;BF;;I-MET;HG;W;<~Q;0.04;ug/l;;;0.04;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288438;318543
COMB;;Lithuania;MRLT;K22;2007;07/03/2007;55.73500000;21.05000000;;;;1;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.21;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288441;318543
COMB;;Lithuania;MRLT;K22;2007;07/03/2007;55.73500000;21.05000000;;;;1;;BF;;I-MET;CR;W;<~Q;2.69;ug/l;;;2.69;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288443;318543
COMB;;Lithuania;MRLT;K22;2007;07/03/2007;55.73500000;21.05000000;;;;1;;BF;;I-MET;PB;W;<~Q;1.33;ug/l;;;1.33;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288439;318543
