"MPROG","PURPM","Country","RLABO","STATN","MYEAR","DATE","Latitude","Longitude","Species","SEXCO","NOINP","DEPHU","DEPHL","MATRX","NODIS","PARGROUP","PARAM","BASIS","QFLAG","Value","MUNIT","VFLAG","DETLI","LMQNT","UNCRT","METCU","ALABO","REFSK","METST","METPT","METPS","METFP","METCX","METOA","FORML","Test.Organism","SMTYP","FINFL","SUBNO","BULKID","tblAnalysisID","tblParamID","tblSampleID"
"BMP","T~S","Russia","RCMA","",1995,"04/10/1995",60.04333333,29.03333333,NA,NA,NA,14,NA,"BF",NA,"I-MET","CU","W","",0.0283464566929134,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,3,NA,65104,22645450,1056869
"NATL~WFD","T~S","Poland","OWMP","10WM",2014,"02/07/2014",54.333,19.519,NA,NA,NA,0.5,1.8,"WT",NA,"I-MET","CU","W","",0.062992125984252,"uM","",NA,NA,NA,"","EWMP","","","FM-CA-0.45~ACD","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447616,46489071,2065267
"NATL~WFD","T~S","Poland","OWMP","1WM",2014,"02/07/2014",54.44,19.667,NA,NA,NA,0.5,2.5,"WT",NA,"I-MET","CU","W","",0.062992125984252,"uM","",NA,NA,NA,"","EWMP","","","FM-CA-0.45~ACD","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447616,46489075,2065259
"NATL~WFD","T~S","Poland","OWMP","2WM",2012,"03/04/2012",54.437,19.717,NA,NA,NA,4.8,4.8,"WT",NA,"I-MET","CU","W","",0.236220472440945,"uM","",NA,NA,NA,"","EWMP","","","FM-CA-0.45~ACD","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447607,46487069,2065199
"NATL~WFD","T~S","Poland","SZPP","2ZP",2012,"12/08/2012",53.981,14.498,NA,NA,NA,0.5,0.5,"WT",NA,"I-MET","CU","W","",0.0692913385826772,"uM","",NA,NA,NA,"","SZPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447634,46491678,2065402
"NATL~WFD","T~S","Poland","OWMP","3WM",2014,"11/06/2014",54.438,19.764,NA,NA,NA,0.5,2.7,"WT",NA,"I-MET","CU","W","",0.188976377952756,"uM","",NA,NA,NA,"","EWMP","","","FM-CA-0.45~ACD","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447616,46489092,2065249
"NATL~WFD","T~S","Poland","SZPP","3ZP",2012,"14/05/2012",54.113,15.065,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",1.71653543307087,"uM","",NA,NA,NA,"","SZPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447634,46491665,2065418
"BMP","T~S","Russia","RCMA","4270",1998,"10/06/1998",59.76033333,28.24083333,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0165354330708661,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21442641,406082
"BMP","T~S","Russia","RCMA","4271",1998,"10/06/1998",60.10333333,28.06283333,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0132283464566929,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21442737,406084
"BMP","T~S","Russia","RCMA","4272",1998,"11/06/1998",60.345,28.01966667,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0141732283464567,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21442803,406085
