Strain,Concentration,Inhibition
NewMedia,4,1
NewMedia,3.7034667,1
NewMedia,3.4289163,1
NewMedia,3.1747193,1
NewMedia,2.9393668,0.9509893
NewMedia,2.7214618,0.6069056
NewMedia,2.5197107,0.4424027
NewMedia,2.3329162,0.3365187
NewMedia,2.1599693,0.2349382
NewMedia,1.9998436,0.2089461
NewMedia,1.8515885,0.1747202
NewMedia,1.7143241,0.0855343
NewMedia,2.7214618,0.6657707
NewMedia,2.5197107,0.4319955
NewMedia,2.3329162,0.3598018
NewMedia,2.7214618,0.5595284
NewMedia,2.5197107,0.4315734
NewMedia,2.3329162,0.3383156
NewMedia,0,-0.0069332
NewMedia,0,0.031873
NewMedia,0,-0.0005623
NewMedia,0,-0.0046783
NewMedia,0,-0.0164861
