strain,Date,Time of day,Position,Light intensity,Control growth rate (day-1),S.D.,RO5 Spation control growth rate (day-1),Concentration,Start Density (RFU),Growth rate (day-1),Inhibition,Replicate
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,4,0.0091,-0.78,1,1
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,3.7,0.0091,-0.31,1,1
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,3.43,0.0091,-0.47,1,1
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,3.17,0.0091,-0.34,1,1
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,2.94,0.0091,-0.26,1,1
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,2.72,0.0091,0.58,0.5308,1
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,2.52,0.0091,1.13,0.0944,2
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,2.33,0.0091,1.19,0.0413,2
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,2.16,0.0091,1.33,-0.0717,2
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,2,0.0091,1.21,0.0237,2
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,1.85,0.0091,1.32,-0.0584,2
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,1.71,0.0091,1.39,-0.1171,2
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,3.43,0.0091,-0.35,1,3
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,2.52,0.0091,1.01,0.1896,3
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,2,0.0091,1.24,0.0017,3
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,3.43,0.0091,-0.3,1,3
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,2.52,0.0091,0.94,0.2476,3
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,2,0.0091,1.29,-0.0387,3
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,0,0.0091,1.3,-0.0216,2
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,0,0.0091,1.27,-0.0536,3
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,0,0.0091,1.31,0.1929,4
0,2018-10-15,00:00,0,0,1.24438383,0.126727085,#OGILTIGT!,0,0.0091,1,-0.0112,5
