Date,Time of day,Position,Light intensity,Control growth rate (day-1),S.D.,RO5 Spation control growth rate (day-1),Concentration,Start Density (RFU),Growth rate (day-1),Inhibition,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,4,0.01,-1.1181,1.00,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,3.703466667,0.01,-0.2663,1.00,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,3.428916338,0.01,-0.1645,1.00,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,3.17471934,0.01,-0.0690,1.00,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,2.939366813,0.01,0.3817,0.73,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,2.721461753,0.01,0.8347,0.41,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,2.519710722,0.01,1.1703,0.17,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,2.332916167,0.01,1.1640,0.18,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,2.159969315,0.01,1.3910,0.02,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,1.99984359,0.01,1.4103,0.00,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,1.851588518,0.01,1.4452,-0.02,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,1.71432409,0.01,1.3820,0.02,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,3.428916338,0.01,-0.4709,1.00,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,2.519710722,0.01,1.2066,0.15,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,1.99984359,0.01,1.3282,0.06,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,3.428916338,0.01,-0.3144,1.00,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,2.519710722,0.01,1.0317,0.27,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,1.99984359,0.01,1.3541,0.04,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,0,0.009082109,1.4689,-0.01,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,0,0.009082109,1.4337,0.02,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,0,0.009082109,1.3860,-0.03,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,0,0.009082109,1.4592,0.09,,,
